id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
100,6,1,1,1,0,0,1,0,0,0,255,255,255,53,2996.47,Pring__,R,14,101,0.754,0.559,0,358.49,312.348,0,0,0,2,7,R,ke ro,160,100.868,0.411,117,0,0,0,0,0,0,0,0,0,0,0,0,-0.127,-37.967,0.141,-17.342,-20.629,-47.851,-12.967,-64.977,19.92,-44.186,14.275,-64.154,40.995,-86.097,-1.724,-106.661,-38.047,-86.229,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
101,6,1,1,1,0,1,1,0,0,0,255,255,255,54,3011.134,Pring__,R,3,105,-3.891,-0.274,1,-477.203,0,0,0,0,2,7,R,ke ro,160,100.868,0.411,117,0,0,0,0,0,0,0,0,0,0,0,0,-0.126,-38.096,-0.321,-17.164,-20.558,-47.804,-12.91,-64.837,19.921,-44.501,10.783,-66.191,40.862,-86.099,-3.599,-106.869,-38.047,-86.221,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
102,6,1,1,1,1,1,1,0,0,0,255,255,255,55,3028.565,Pring__,R,0,138,-3.467,-0.936,1,223.203,-135.894,0,0,0,2,7,R,ke ro,160,100.868,0.411,117,0,0,0,0,0,0,0,0,0,0,0,0,-0.148,-37.918,-0.22,-17.131,-23.262,-47.799,-12.994,-64.948,18.919,-45.825,10.64,-66.746,41.048,-86.003,-2.105,-107.79,-38.761,-85.412,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
103,6,1,1,1,2,1,1,0,0,0,255,255,255,56,3043.912,Pring__,R,14,94,-1.471,-0.075,0,251.091,400,0,0,1,2,7,R,ke ro,160,100.868,0.411,117,0,0,0,0,0,0,0,0,0,0,0,0,-0.089,-38.009,0.031,-17.284,-19.551,-44.477,-12.991,-64.918,19.048,-45.954,10.513,-66.706,40.723,-86.063,-2.199,-107.73,-38.007,-86.275,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
104,6,1,1,1,2,2,1,0,0,0,255,255,255,57,3062.354,Pring__,R,3,101,-3.838,-0.492,4,-459.091,0,0,0,1,2,7,R,ke ro,160,100.868,0.411,117,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-38.171,-0.127,-17.099,-19.865,-42.764,-13.05,-65.012,18.166,-46.158,9.739,-65.649,40.74,-86.105,-3.451,-108.45,-38.006,-86.227,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
105,6,1,1,1,0,0,2,0,0,0,255,255,255,58,3089.048,Pring__,R,0,137,-1.224,0.722,0,185.61,-149.979,0,0,0,3,2,R,coder_,170.4,86,0.505,35,0,0,0,0,0,0,0,0,0,0,0,0,-0.153,-37.733,-0.498,-16.948,-20.457,-46.566,-12.983,-64.931,18.171,-44.925,8.48,-66.565,40.817,-85.994,-6.655,-108.56,-38.564,-87.297,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
106,6,1,1,1,0,1,2,0,0,0,255,255,255,59,3103.836,Pring__,R,0,137,-1.052,1.588,1,171.997,-148.241,0,0,0,3,2,R,coder_,170.4,86,0.505,35,0,0,0,0,0,0,0,0,0,0,0,0,-0.057,-37.746,-0.485,-16.723,-20.287,-45.533,-13.06,-64.939,18.997,-45.667,8.019,-66.81,39.563,-88.516,-6.895,-108.67,-38.21,-85.969,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
107,6,1,1,1,1,1,2,0,0,0,255,255,255,60,3115.977,Pring__,R,14,115,1.289,-0.588,2,376.485,329.027,-0.011,-19.946,1,3,2,R,coder_,170.4,86,0.505,35,3117.131,131,95,28,136,77,-59.594,38.193,-0.15,-0.131,-0.243,0.323,-0.059,-36.872,0.068,-16.841,-20.235,-45.802,-13.006,-64.864,18.368,-45.403,8.331,-66.878,39.814,-88.332,-6.646,-108.59,-38.234,-85.947,0,0,0,3119.034,2,인생최패망자,-15.095,-39.145,0,0,0,0,0,0,0,1
108,6,0,1,1,0,0,0,0,0,0,255,255,255,46,3186.774,encounter v,R,14,126,0.371,-1.161,1,340.138,366.478,0,0,0,8,9,L,Kr_Luna,190,96.958,0.505,54,0,0,0,0,0,0,0,0,0,0,0,0,0.057,-36.974,0.005,-16.875,-13.84,-45.668,-10.347,-62.574,23.795,-49.577,24.159,-72.959,45.891,-94.108,6.916,-112.574,-34.858,-88.909,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
109,6,0,1,1,1,0,0,0,0,0,255,255,255,47,3198.372,encounter v,R,14,121,-1.083,0.616,0,349.423,357.636,0,0,0,8,9,L,Kr_Luna,190,96.958,0.505,54,0,0,0,0,0,0,0,0,0,0,0,0,-0.145,-37.131,0.029,-16.84,-13.946,-45.578,-9.809,-63.306,22.903,-48.516,24.253,-73.109,45.906,-94.092,3.81,-115.666,-33.991,-89.555,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
110,6,0,1,1,1,1,0,0,0,0,255,255,255,48,3210.863,encounter v,R,14,121,1.748,-0.281,2,327.229,378.05,0,0,1,8,9,L,Kr_Luna,190,96.958,0.505,54,3211.754,144,70,43,135,92,100.887,78.995,0.93,-0.007,-0.021,0.245,-0.114,-37.084,-0.046,-16.912,-13.78,-45.051,-10.757,-63.189,24.667,-50.433,24.187,-73.096,45.86,-94.137,3.832,-115.672,-33.456,-89.214,3217.151,64.058,-2.534,0,0,,0,0,0,0,0,0,0,0,0,0
111,6,0,1,1,1,2,0,0,0,0,255,255,255,49,3237.797,encounter v,R,14,127,-2.092,0.493,2,201.442,400,0,0,1,8,9,L,Kr_Luna,190,96.958,0.505,35,3238.699,179,86,45,140,87,32.654,42.546,-0.52,0.002,-0.045,0.24,-0.197,-37.025,-0.097,-17.019,-13.932,-46.595,-8.901,-62.957,24.793,-49.57,24.567,-73.976,45.526,-92.347,5.154,-113.373,-35.109,-90.086,3243.234,-50.407,-72.808,3248.668,8,Sabo_10,-68.354,-90.403,1,0,0,0,0,0,0,2
112,6,0,1,1,0,0,0,0,1,0,255,9,255,50,3277.4,encounter v,R,6,117,3.181,-0.651,1,395.791,98.038,1.08,-16.849,0,0,6,R,Eaglebuter,170.2,95,0.5,35,0,0,0,0,0,0,0,0,0,0,0,0,0.161,-37.108,1.684,-16.81,-17.34,-42.95,-10.363,-62.14,22.233,-48.092,5.911,-60.84,36.93,-91.11,3.61,-105.679,-46.151,-89.826,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
113,6,0,1,1,1,0,0,0,1,0,255,9,255,51,3293.974,encounter v,R,14,125,0.294,-0.565,0,377.585,327.765,0,0,0,0,6,R,Eaglebuter,170.2,95,0.5,35,0,0,0,0,0,0,0,0,0,0,0,0,0.011,-37.117,-0.05,-16.98,-18.201,-42.218,-10.141,-61.998,19.975,-46.841,6.566,-60.151,36.932,-91.125,3.59,-106.045,-45.436,-90.527,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
114,6,0,1,1,1,1,0,0,1,0,255,9,255,52,3306.829,encounter v,R,0,140,0.233,0.183,0,71.79,-161.561,0,0,1,0,6,R,Eaglebuter,170.2,95,0.5,35,0,0,0,0,0,0,0,0,0,0,0,0,-0.011,-37.02,0.022,-16.919,-17.63,-43.421,-10.156,-62.372,20.262,-44.184,4.326,-61.217,37.022,-91.129,3.581,-106.058,-45.667,-88.57,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
