id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result
57,3,0,0,0,0,0,1,0,255,11,255,26,1936.608,Penguin_iDOL,0,139,-0.838,-0.51,0,73.679,2.223,-0.342,-11.981,0,2,3,NABIMan,190,55,0,0,0,0,0,0,0,0,0,0.248,-37.787,-0.177,-17.641,-20.815,-47.105,-14.6,-62.764,22.384,-44.765,9.464,-61.527,41.637,-85.073,4.777,-108.642,-51.185,-84.519,0,0,0,0,0,,0,0,0,0
58,3,0,0,1,0,0,1,0,255,11,255,27,1959.02,Penguin_iDOL,3,94,-4.923,-0.205,1,-427.273,0,-2.312,-13.598,0,2,3,NABIMan,190,55,0,0,0,0,0,0,0,0,0,0.033,-38.005,-0.757,-16.638,-22.779,-49.414,-14.214,-63.485,21.547,-43.62,10.247,-64.227,41.421,-85.18,5.098,-108.967,-55.246,-87.919,0,0,0,0,0,,0,0,0,0
59,3,0,1,1,0,0,0,1,255,255,11,28,1991.986,Penguin_iDOL,0,140,1.174,-0.338,0,72.333,7.682,0.311,-11.017,0,2,3,NABIMan,190,55,0,0,0,0,0,0,0,0,0,0.085,-37.95,0.366,-17.343,-20.754,-46.572,-13.898,-62.892,18.813,-41.364,15.036,-60.248,41.442,-85.237,5.169,-113.367,-57.102,-88.534,0,0,0,0,0,,0,0,0,0
60,3,0,1,2,0,0,0,1,255,255,11,29,2008.995,Penguin_iDOL,0,139,0.23,1.234,4,123.131,15.671,0,0,1,2,3,NABIMan,190,55,0,0,0,0,0,0,0,0,0,0.093,-37.777,-0.188,-18.367,-18.709,-42.044,-13.751,-62.694,18.986,-40.34,14.584,-59.232,41.36,-85.248,2.697,-113.089,-57.486,-88.86,0,0,0,0,0,,0,0,0,0
61,3,0,0,0,1,0,0,1,255,255,11,30,2035.518,Penguin_iDOL,0,140,0.462,0.89,0,36.277,10.881,0,0,1,3,5,CVPileMaki,170.2,55,0,0,0,0,0,0,0,0,0,0.307,-37.856,0.218,-17.218,-16.731,-43.355,-15.035,-62.351,18.362,-42.444,14.456,-60.555,41.359,-85.333,1.216,-113.466,-59.943,-91.637,0,0,0,0,0,,0,0,0,0
62,3,0,0,1,1,0,0,1,255,255,11,31,2060.178,Penguin_iDOL,3,105,-1.392,-0.306,2,-477.273,0,0,0,1,3,5,CVPileMaki,170.2,55,2061.252,65,233,19,85,104,31.412,43.215,0.915,0.253,-37.037,-0.557,-17.127,-18.785,-44.023,-14.376,-61.282,18.185,-42.657,15.345,-61.27,41.052,-85.555,0.815,-113.536,-57.914,-88.977,2062.887,-54.177,-93.363,2067.379,-1,Mettic323,-48.514,-95.201,1,2
63,3,0,0,0,1,0,0,1,255,255,14,32,2105.735,Penguin_iDOL,0,133,1.307,0.249,2,53.27,-7.421,0,0,0,4,4,Multeinn,190,55,2106.628,116,206,64,154,67,7.83,27.245,-0.943,0.165,-37.07,0.227,-17.39,-20.637,-47.58,-13.944,-60.826,19.199,-40.27,14.381,-61.028,42.492,-84.203,-1.679,-106.758,-57.535,-92.68,2104.712,-10.172,-43.072,2111.612,6,Kaien Shiba,-33.027,-78.352,1,2
64,3,0,0,0,1,1,0,0,13,255,255,33,2147.582,Penguin_iDOL,0,130,1.599,-0.307,1,58.47,-0.585,0.409,-11.39,0,5,6,_Chun,190,55,0,0,0,0,0,0,0,0,0,0.082,-37.789,0.356,-17.022,-19.689,-40.15,-14.123,-60.388,22.959,-49.211,12.491,-63.258,42.57,-84.067,0.536,-106.662,-48.101,-87.859,0,0,0,0,0,,0,0,0,0
65,3,0,1,0,1,1,0,0,13,255,255,34,2166.01,Penguin_iDOL,0,140,1.394,-0.435,1,87.046,-18.037,0,0,0,5,6,_Chun,190,55,0,0,0,0,0,0,0,0,0,-0.276,-37.552,0.171,-17.02,-19.485,-40.488,-14.077,-62.397,22.422,-49.649,11.118,-63.211,42.465,-84.12,0.446,-108.655,-50.314,-89.835,0,0,0,0,0,,0,0,0,0
66,3,0,2,0,1,1,0,0,13,255,255,35,2184.032,Penguin_iDOL,0,136,-1.569,0.651,4,51.936,22.272,-0.955,-21.229,1,5,6,_Chun,190,55,0,0,0,0,0,0,0,0,0,-0.172,-37.784,-0.078,-17.442,-20.017,-41.159,-13.114,-60.133,22.466,-49.612,12.252,-63.405,42.599,-83.988,-0.297,-111.096,-49.866,-89.384,0,0,0,0,0,,0,0,0,0
67,3,0,0,0,1,1,0,0,13,255,255,36,2256.084,Penguin_iDOL,0,132,1.54,-0.051,2,109.992,22.125,0,0,0,6,0,Slaris,190,55,2256.951,87,95,15,122,67,-74.716,67.608,-0.882,0.398,-37.129,0.149,-17.311,-18.87,-43.898,-15.085,-61.54,21.483,-45.038,7.4,-62.581,43.299,-83.236,-1.131,-113.851,-50.454,-87.452,2253.679,-0.173,-19.414,0,0,,0,0,0,3
68,3,0,0,1,1,1,0,0,13,255,255,37,2277.695,Penguin_iDOL,6,114,0.627,0.791,2,398.591,0,0,0,1,6,0,Slaris,190,55,2278.688,88,105,36,134,67,43.532,35.413,-0.946,0.045,-37.122,0.218,-17.161,-19.458,-44.559,-15.583,-62.017,21.129,-44.021,8.885,-63.034,41.535,-81.119,-0.798,-110.558,-50.667,-86.363,2280.154,-28.845,-60.324,2280.271,3,Dοpi,-27.7,-58.718,0,1
69,3,0,0,0,2,0,1,0,255,13,255,38,2309.294,Penguin_iDOL,3,107,-1.761,0.086,4,-463.294,0,-1.472,-12.544,1,7,8,Gonyong,174.8,55,0,0,0,0,0,0,0,0,0,-0.211,-37.868,-1.261,-16.854,-19.884,-42.864,-16.232,-62.102,20.839,-42.909,9.176,-62.469,42.841,-83.294,-4.79,-107.46,-54.705,-90.776,0,0,0,0,0,,0,0,0,0
70,3,0,0,1,2,1,1,0,15,13,255,39,2366.176,Penguin_iDOL,0,140,0.357,-1.057,2,35.247,-1.92,0,0,1,7,8,Gonyong,174.8,55,2367.164,92,113,23,138,64,-26.171,8.016,-1,0.332,-37.161,0.182,-17.085,-20.703,-43.284,-16.467,-61.476,24.299,-48.997,9.873,-63.248,42.757,-83.382,-0.939,-111.724,-54.146,-90.813,2363.912,-0.057,-21.23,2371.42,7,ke ro,-19.476,-91.873,0,2
71,4,1,0,0,0,0,0,0,255,255,255,30,2436.785,Slaris,0,127,-0.747,-0.529,0,-57.109,-186.643,0,0,0,4,3,Dοpi,174.8,55,0,0,0,0,0,0,0,0,0,-0.161,-37.047,-0.163,-17.34,-23.443,-48.487,-17.125,-58.276,22.156,-52.366,14.07,-63.273,39.863,-84.781,39.863,-84.781,-38.09,-76.415,0,0,0,0,0,,0,0,0,0
72,4,1,0,1,0,0,0,0,255,255,255,31,2449.223,Slaris,10,127,-0.175,-2.734,2,0,400,0.023,-20.34,1,4,3,Dοpi,174.8,55,2450.206,109,160,69,151,102,-36.717,-24.288,0.934,-0.271,-36.479,-0.092,-17.287,-24.428,-50.444,-15.726,-58.396,22.175,-52.202,14.53,-63.676,38.554,-83.899,38.554,-83.899,-37.693,-76.342,2448.371,9.907,-53.199,2448.962,5,CVPileMaki,11.26,-57.449,0,2
73,4,1,0,0,1,0,0,0,255,255,255,32,2471.622,Slaris,10,126,0.349,-1.443,2,0,400,0,0,1,5,7,ke ro,160,55,2472.501,104,111,0,136,122,-73.183,-57.744,0.282,-0.286,-36.65,-0.047,-17.399,-23.006,-49.165,-15.625,-59.074,22.078,-50.114,15.822,-63.098,34.636,-87.296,34.636,-87.296,-40.285,-74.702,2469.221,0.206,-19.15,0,0,,0,0,0,3
74,4,1,0,1,1,0,0,0,255,255,255,33,2491.71,Slaris,0,133,1.298,-0.909,2,-77.44,-200,0,0,1,5,7,ke ro,160,77,2492.525,121,108,0,137,62,43.292,47.512,-0.657,-0.233,-36.95,-0.065,-17.368,-23.709,-50.638,-14.496,-59.428,23.037,-49.699,13.971,-63.981,40.386,-83.69,40.386,-83.69,-39.474,-73.812,2493.237,-32.051,-49,2494.587,8,Gonyong,-37.494,-53.903,0,2
75,4,1,0,2,1,0,0,0,255,255,255,34,2516.825,Slaris,10,117,0.232,1.241,2,0,398.975,0,0,1,5,7,ke ro,160,77,2517.884,103,100,0,135,62,13.435,27.728,-0.644,-0.208,-36.967,-0.064,-17.376,-22.385,-49.138,-17.19,-58.112,23.514,-52.521,14.899,-63.438,38.514,-79.967,38.514,-79.967,-39.65,-66.842,2516.445,-13.39,-43.799,2517.054,2,Sabo_10,-14.602,-45.956,0,2
76,4,1,0,1,2,0,0,0,255,255,255,35,2562.865,Slaris,14,114,-1.228,-0.174,0,390.434,312.348,-0.45,-17.819,1,6,0,Penguin_iDOL,179.5,73,0,0,0,0,0,0,0,0,0,-0.251,-37.377,-0.136,-17.462,-24.257,-50.001,-17.203,-56.848,20.859,-48.803,14.918,-63.606,38.705,-81.447,38.705,-81.447,-41.105,-74.686,0,0,0,0,0,,0,0,0,0
77,4,1,0,2,2,0,0,0,255,255,255,36,2577.387,Slaris,14,119,0.387,-1.278,4,390.434,312.348,0,0,1,6,0,Penguin_iDOL,179.5,73,0,0,0,0,0,0,0,0,0,-0.029,-37.437,-0.087,-17.301,-22.26,-47.188,-16.354,-55.312,22.107,-50.532,14.751,-64.159,38.148,-81.022,38.148,-81.022,-41.117,-74.704,0,0,0,0,0,,0,0,0,0
78,4,0,0,0,0,0,0,0,255,255,255,40,2679.994,Penguin_iDOL,3,117,0.179,0.225,2,-261.682,0,0,0,1,0,1,encounter v,190,44,2681.078,110,140,2,140,130,51.852,-4.933,0.637,0.074,-37.103,-0.524,-17.053,-19.215,-44.944,-15.114,-62.683,25.746,-51.163,16.196,-63.346,39.386,-84.466,1.007,-110.275,-39.774,-88.1,2685.471,12.74,-111.422,2685.679,7,ke ro,12.6,-110.483,0,1
79,4,0,0,0,1,0,0,0,255,255,255,41,2723.923,Penguin_iDOL,0,136,0.491,-0.21,2,74.952,-6.779,0,0,1,1,2,Sabo_10,185.2,55,2725.002,94,105,25,138,130,39.692,-27.484,0.685,0.337,-36.921,0.248,-16.942,-20.227,-46.17,-15.07,-62.636,25.772,-50.593,15.974,-62.776,39.724,-86.47,2.743,-109.939,-39.909,-87.875,2727.929,73.852,-107.604,0,0,,0,0,0,4
80,4,0,0,0,1,0,0,0,255,255,255,42,2774.896,Penguin_iDOL,0,134,0.629,0.453,0,77.78,-20.832,0,0,0,2,3,NABIMan,190,55,0,0,0,0,0,0,0,0,0,-0.098,-37.981,0.277,-16.781,-20.416,-45.595,-15.42,-61.486,23.427,-51.723,14.769,-62.916,43.248,-86.492,-1.013,-107.582,-40.876,-89.717,0,0,0,0,0,,0,0,0,0
81,4,0,0,1,1,0,0,0,255,255,255,43,2793.725,Penguin_iDOL,10,117,-0.66,0.622,2,0,400,0,0,1,2,3,NABIMan,190,55,2794.689,78,255,55,139,101,-10.243,35.459,0.898,0.03,-37.137,0.224,-16.895,-20.602,-47.136,-15.444,-61.611,23.474,-51.737,14.466,-62.872,43.28,-86.453,-0.86,-107.571,-40.865,-89.685,2791.545,-4.282,-26.39,2792.871,2,Yaksok~,-17.129,-45.012,0,2
82,4,0,0,0,2,0,0,0,255,255,255,44,2826.201,Penguin_iDOL,0,140,2.218,0.933,4,99.551,-67.825,0.072,-20.405,1,3,5,CVPileMaki,170.2,55,0,0,0,0,0,0,0,0,0,-0.003,-37.811,0.271,-17.327,-19.996,-45.436,-13.488,-63.243,24.555,-52.989,15.028,-62.841,43.384,-85.982,-2.583,-100.263,-42.766,-90.327,0,0,0,0,0,,0,0,0,0
