id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
58,4,0,0,2,0,0,0,0,0,0,255,255,255,35,1953.891,"CVPileMaki",R,11,93,134,-6.377,-2.529,-0.296,1.561,-2.643,0.096,-36.532,1,0,-87.421,156.392,0.011,-1.567,-17.529,0,5,5,R,"소솨소솨",190,80,0.2,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.333,-37.167,0,"HANA_ARASHI",-0.949,-17.162,0,"Pring__",-20.639,-46.3,0,"-라후이-",-12.573,-63.474,0,"encounter v",15.032,-51.33,0,"Kr_Luna",12.995,-61.863,0,"Ayu_Yua",46.808,-96.354,0,"_Chun",-8.255,-96.898,0,"ゆっち一",-46.601,-87.071,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
59,4,0,0,2,1,0,0,0,0,0,255,255,255,36,1967.789,"CVPileMaki",R,10,88,128,-2.792,-0.335,-0.055,1.832,-0.255,1.931,-36.591,2,0,0,400,5.232,0,0,1,5,5,R,"소솨소솨",190,80,0.2,2,67,1968.685,255,11,123,47,0,150,130,3.574,17.173,0.51,0.004,-0.081,0,0.446,-0.403,-36.993,0,"HANA_ARASHI",-0.112,-17.178,0,"Pring__",-20.64,-46.298,95,"-라후이-",-12.346,-63.648,107,"encounter v",16.068,-54.34,0,"Kr_Luna",13.179,-61.717,0,"Ayu_Yua",44.261,-92.518,0,"_Chun",-9.753,-98.134,0,"ゆっち一",-44.741,-90.061,0,1969.55,-13.533,-56.821,1970.017,3,"-라후이-",-14.746,-59.641,0,0,0,0,0,0,0,2
60,4,0,0,2,0,0,1,0,0,0,255,255,255,37,2013.606,"CVPileMaki",R,0,76,127,3.338,1.368,0.183,1.906,1.448,2.359,-36.689,1,0,0,0,-1.367,0,0,0,6,6,R,"Pugeuk",170,86.173,0.45,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121,-37.499,0,"HANA_ARASHI",0.073,-17.432,0,"Pring__",-19.563,-41.881,0,"-라후이-",-15.111,-63.099,0,"encounter v",16.888,-53.285,0,"Kr_Luna",8.183,-62.535,0,"Ayu_Yua",46.622,-102.545,0,"_Chun",-2.2,-99.551,0,"ゆっち一",-45.98,-85.935,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
61,4,0,0,2,1,0,1,0,0,0,255,255,255,38,2028.188,"CVPileMaki",R,27,92,140,-2.817,-0.801,-0.286,1.573,-1.33,1.027,-36.394,4,0,85.486,-128.465,12.001,0,0,1,6,6,R,"Pugeuk",170,86.173,0.45,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.462,-36.875,0,"HANA_ARASHI",-0.143,-17.085,0,"Pring__",-20.768,-45.486,0,"-라후이-",-15.363,-63.529,0,"encounter v",15.514,-56.727,0,"Kr_Luna",7.965,-63.182,0,"Ayu_Yua",46.568,-102.582,0,"_Chun",-0.553,-99.621,0,"ゆっち一",-45.708,-86.678,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
62,4,0,0,2,1,1,1,0,0,0,255,255,255,39,2039.958,"CVPileMaki",R,5,88,137,1.304,0.009,0.149,1.73,0.692,1.596,-36.6,2,0,-92.408,0,-0.801,0,0,1,6,6,R,"Pugeuk",170,86.173,0.45,3,67,2041.108,184,6,97,71,37,150,90,-0.45,-9.244,-0.49,0.022,-0.047,0,0.65,-0.153,-37.361,0,"HANA_ARASHI",0.037,-17.203,0,"Pring__",-20.99,-43.086,61,"-라후이-",-14.74,-62.925,0,"encounter v",16.772,-56.64,0,"Kr_Luna",8.657,-63.39,96,"Ayu_Yua",46.614,-102.608,0,"_Chun",-0.413,-95.946,0,"ゆっち一",-45.668,-86.678,0,2041.372,1.941,-34.513,2042.961,5,"Kr_Luna",5.481,-58.308,0,0,0,0,0,0,0,2
63,4,0,0,2,0,0,2,0,0,0,255,255,255,40,2064.102,"CVPileMaki",R,26,85,138,-0.015,-0.119,-0.032,1.668,-0.148,1.377,-36.357,2,0,107.39,-167.802,9.721,0,0,1,7,8,R,"ByeolBam",174.7,90,0.5,3,66,2065.043,176,22,120,117,60,150,118,25.736,14.111,0.22,-0.054,-0.087,0,0.121,0.16,-36.789,0,"HANA_ARASHI",-0.083,-17.171,0,"Pring__",-21.226,-46.988,0,"-라후이-",-14.473,-63.49,96,"encounter v",15.659,-54.948,0,"Kr_Luna",8.121,-62.897,0,"Ayu_Yua",41.102,-100.555,0,"_Chun",-0.374,-97.371,86,"ゆっち一",-44.735,-87.318,0,2068.895,-11.55,-113.002,2072.483,7,"_Chun",-11.454,-127.989,1,0,0,0,0,0,0,2
64,4,0,0,2,0,0,2,0,1,0,255,18,255,41,2104.558,"CVPileMaki",R,10,77,118,-0.034,-0.507,-0.003,1.781,-0.015,1.768,-36.602,0,0,0,400,-26.66,0,0,1,8,0,L,"Sabo_10",190,90,0.599,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.237,-37.558,0,"HANA_ARASHI",-0.036,-17.258,0,"Pring__",-20.171,-45.32,0,"-라후이-",-11.407,-62.008,0,"encounter v",23.043,-48.19,0,"Kr_Luna",10.512,-62.78,0,"Ayu_Yua",52.022,-99.679,0,"_Chun",7.684,-101.687,0,"ゆっち一",-44.035,-93.681,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
65,4,0,0,2,0,1,2,0,1,0,255,18,255,42,2119.288,"CVPileMaki",R,0,65,105,2.104,1.399,0.331,2.138,1.01,2.492,-37.283,4,0,-47.007,0,-0.454,0,0,1,8,0,L,"Sabo_10",190,90,0.599,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141,-37.672,0,"HANA_ARASHI",-0.066,-17.156,0,"Pring__",-21.389,-46.912,0,"-라후이-",-11.117,-59.87,0,"encounter v",21.416,-46.098,0,"Kr_Luna",12.099,-60.274,0,"Ayu_Yua",52.044,-99.692,0,"_Chun",7.952,-100.069,0,"ゆっち一",-38.815,-95.895,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
66,4,0,0,2,0,2,2,0,1,0,255,18,255,43,2135.813,"CVPileMaki",R,10,79,119,0.671,-0.487,0.063,1.773,0.293,1.741,-36.561,2,0,-1.459,400,-0.274,0,0,1,8,0,L,"Sabo_10",190,90,0.599,3,66,2136.782,193,17,110,122,65,150,116,-7.671,12.27,0.86,0.079,-0.119,0,0.707,-0.279,-36.984,0,"HANA_ARASHI",-0.086,-17.67,0,"Pring__",-20.202,-45.234,98,"-라후이-",-14.448,-63.866,0,"encounter v",19.616,-46.226,0,"Kr_Luna",8.933,-63.499,0,"Ayu_Yua",51.99,-99.727,0,"_Chun",8.08,-99.65,0,"ゆっち一",-36.833,-98.269,0,2136.55,-1.049,-26.083,2138.217,3,"-라후이-",-9.422,-64.153,0,0,0,0,0,0,0,2
67,5,1,0,2,0,0,0,0,0,0,255,255,255,22,2176.182,"Sabo_10",L,26,83,135,-1.334,0.861,-0.58,2.047,-0.561,1.863,-36.881,0,0,-2.14,-200,-30.914,0,0,0,4,5,L,"Kr_Luna",170.3,93.049,0.497,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.334,-37.538,0,"bdg06213",0.082,-17.792,0,"アリアル",-22.151,-46.671,0,"아침땅_",-11.765,-64.961,0,"인생최패망자",21.232,-47.031,0,"소솨소솨",15.216,-62.809,0,"Pugeuk",41.256,-96.284,0,"ke ro",5.42,-108.634,0,"ByeolBam",-43.265,-92.265,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
