id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
104,5,1,4,3,0,0,1,0,1,0,255,6,255,53,3691.475,DoYaGee,10,110,0.671,-0.931,2,0,355.882,0,0,0,6,3,Oort__Cloud,160,43,3692.69,102,152,0,130,118,35.086,15.285,0.586,-0.175,-0.135,-0.417,-36.52,0.031,-16.866,-20.229,-40.3,-14.304,-64.307,21.244,-46.986,6.833,-62.282,43.352,-83.594,0,-100.6,-37.243,-84.355,3697.804,-43.306,-111.387,3700.831,8,Roscosmos,-36.973,-108.306,1,0,2
105,5,1,5,3,0,0,1,0,1,0,255,3,255,54,3742.919,DoYaGee,11,114,0.541,-0.347,0,0,177.426,0,0,0,7,1,coder_,190,57,0,0,0,0,0,0,0,0,0,0,0,-0.654,-37.261,0.104,-17.061,-19.043,-42.832,-14.731,-64.321,21.546,-47.491,4.867,-60.65,40.802,-82.677,0,-100.6,-34.608,-78.625,0,0,0,0,0,,0,0,0,0,0
106,5,1,5,3,0,1,1,0,1,0,255,3,255,55,3764.665,DoYaGee,10,87,-0.031,-0.191,2,79.259,372.637,0,0,1,7,1,coder_,190,57,3765.961,115,216,94,151,103,-21.291,42.092,0.928,-0.065,-0.133,-0.418,-36.497,0.029,-16.627,-18.983,-43.091,-14.697,-64.4,20.543,-48.665,10.96,-62.954,38.824,-79.42,0,-100.6,-35.674,-82.545,3765.657,-2.258,-23.602,3774.671,8,Roscosmos,-59.143,-89.646,1,0,2
107,5,1,6,3,0,0,1,0,1,0,255,255,255,56,3812.163,DoYaGee,10,102,-0.269,-1.785,4,0,400,0,0,1,0,2,IllilliIIIIllil,174.5,43,0,0,0,0,0,0,0,0,0,0,0,-0.556,-37.125,0.126,-17.036,-18.241,-43.607,-12.211,-64.17,22.894,-46.628,10.18,-59.943,42.454,-84.54,0,-100.6,-31.557,-80.702,0,0,0,0,0,,0,0,0,0,0
108,5,1,6,3,0,1,1,0,1,0,255,255,255,57,3833.344,DoYaGee,10,111,0.437,-0.42,0,0,400,0,0,1,0,2,IllilliIIIIllil,174.5,43,0,0,0,0,0,0,0,0,0,0,0,-0.455,-37.255,0.214,-17.007,-18.596,-43.214,-8.45,-64.654,22.147,-46.036,10.029,-60.722,41.965,-85.752,0,-100.6,-32.734,-82.858,0,0,0,0,0,,0,0,0,0,0
109,5,1,6,3,0,2,1,0,1,0,255,255,255,58,3887.737,DoYaGee,0,123,0.672,1.861,4,70.656,-178.898,0,0,1,0,2,IllilliIIIIllil,174.5,43,0,0,0,0,0,0,0,0,0,0,0,-0.46,-37.622,-0.312,-17.137,-18.709,-43.18,-7.224,-63.661,22.403,-46.765,11.977,-60.553,45.24,-92.771,0,-100.6,-33.947,-87.031,0,0,0,0,0,,0,0,0,0,0
110,5,1,6,3,0,0,2,0,1,0,255,255,255,59,3917.912,DoYaGee,10,114,-1.823,-1.312,1,-9.552,400,-0.421,-17.451,0,1,0,Dοpi,190,43,0,0,0,0,0,0,0,0,0,0,0,-0.442,-37.19,-0.26,-16.807,-18.081,-41.147,-13.415,-64.208,22.027,-48.794,12.435,-60.522,47.031,-93.561,0,-100.6,-36.638,-84.019,0,0,0,0,0,,0,0,0,0,0
111,5,1,6,3,1,0,2,0,1,0,255,255,255,60,3937.399,DoYaGee,10,114,0.282,-0.498,2,0,276.886,0,0,1,1,0,Dοpi,190,43,3938.321,107,191,18,137,130,12.272,-11.554,0.39,-0.051,-0.071,-0.333,-36.751,-0.273,-16.508,-18.014,-41.268,-14.282,-64.2,21.738,-48.467,11.633,-61.448,46.536,-93.164,0,-100.6,-36.28,-83.806,3945.418,14.105,-119.274,3945.418,-1,AI,14.186,-119.305,1,0,0
112,5,1,7,3,0,0,2,0,1,0,255,255,255,61,3979.489,DoYaGee,0,125,-0.024,-0.359,0,23.487,-177.964,0,0,0,2,8,ByeolBam,175.3,43,0,0,0,0,0,0,0,0,0,0,0,-0.269,-37.415,0.144,-16.942,-18.544,-42.925,-15.689,-63.307,20.502,-48.762,9.04,-62.102,43.591,-90.969,0,-100.6,-32.793,-86.809,0,0,0,0,0,,0,0,0,0,0
113,5,1,7,3,0,1,2,0,1,0,255,255,255,62,3997.866,DoYaGee,10,112,1.551,-0.467,2,-9.98,380.195,0,0,1,2,8,ByeolBam,175.3,43,3998.758,91,221,41,138,76,41.208,44.256,0.982,-0.099,-0.165,-0.502,-36.541,-0.016,-16.572,-16.6,-43.819,-15.661,-63.471,20.977,-48.806,11.336,-62.635,44.981,-91.571,0,-100.6,-33.592,-86.126,4003.231,-40.278,-66.195,4004.537,8,Roscosmos,-44.141,-70.546,1,0,2
114,5,1,7,3,0,0,2,1,0,0,7,255,255,63,4041.025,DoYaGee,10,111,-0.57,-0.944,2,0,400,0,0,1,3,4,-라후이-,190,84,4041.876,119,178,33,140,80,8.053,-28.622,0.977,-0.071,-0.156,-0.684,-36.907,0.036,-17.341,-19.881,-39.351,-14.8,-64.199,22.197,-50.191,11.102,-64.13,43.174,-85.887,0,-100.6,-37.116,-79.405,4042.564,10.162,-41.306,4045.951,6,M_lunatic,27.697,-82.211,1,0,2
115,5,1,8,3,0,0,2,1,1,0,4,8,255,64,4071.753,DoYaGee,0,123,-0.444,0.986,0,122.889,-140.998,0,0,0,4,5,소솨소솨,170.3,43,0,0,0,0,0,0,0,0,0,0,0,-0.388,-37.363,0.318,-17.416,-19.716,-39.039,-15.047,-63.803,21.695,-48.892,10.836,-63.243,43.777,-84.505,0,-100.6,-35.563,-81.6,0,0,0,0,0,,0,0,0,0,0
116,5,1,8,3,0,1,2,1,1,0,4,8,255,65,4094.212,DoYaGee,10,112,-1.093,-1.289,2,0,400,0,0,1,4,5,소솨소솨,170.3,43,4095.235,105,184,43,140,66,-76.622,64.08,1,-0.039,-0.254,-0.561,-36.563,-0.044,-17.55,-19.491,-39.008,-15.057,-63.921,21.901,-48.637,11.393,-63.059,43.817,-85.386,0,-100.6,-35.585,-81.557,4094.898,-0.382,-19.993,4098.084,2,TaeGeuk_,-18.443,-39.684,0,0,2
117,5,0,8,3,0,0,0,0,0,0,255,255,255,50,4215.553,Dοpi,0,140,-1.425,-2.023,1,60.776,-139.515,0,0,0,1,8,Roscosmos,174.6,54,0,0,0,0,0,0,0,0,0,0,0,-0.115,-37.138,-0.268,-17.147,-23.498,-48.751,-12.467,-64.906,17.209,-42.404,12.954,-65.092,36.881,-86.498,0,-100.6,-38.281,-87.025,0,0,0,0,0,,0,0,0,0,0
118,5,0,8,3,1,0,0,0,0,0,255,255,255,51,4226.917,Dοpi,0,78,-0.156,-0.292,0,0,0,0,0,0,1,8,Roscosmos,174.6,54,0,0,0,0,0,0,0,0,0,0,0,0.005,-37.351,-0.243,-17.052,-24.066,-49.075,-12.786,-64.924,17.525,-42.969,12.965,-65.107,36.882,-86.449,0,-100.6,-38.294,-86.937,0,0,0,0,0,,0,0,0,0,0
119,5,0,8,3,1,1,0,0,0,0,255,255,255,52,4241.525,Dοpi,13,113,-0.123,-0.37,2,-422.638,267.165,0,0,1,1,8,Roscosmos,174.6,54,4242.457,106,179,0,133,129,35.351,-38.268,0.456,-0.059,-0.139,-0.197,-36.7,-0.206,-17.114,-23.717,-48.861,-12.585,-64.952,17.957,-43.746,12.956,-65.13,36.874,-86.634,0,-100.6,-38.259,-86.979,4247.884,52.646,-127.146,0,0,,0,0,0,0,4
120,5,0,8,4,0,0,0,0,0,0,255,255,255,53,4289.577,Dοpi,0,108,-0.19,2.68,1,0,24.29,0,0,0,2,1,하루（Haru）,190,44,0,0,0,0,0,0,0,0,0,0,0,-0.129,-37.383,-0.095,-17.062,-23.529,-49.549,-12.255,-65.259,17.783,-44.562,13.291,-64.476,46.7,-96.076,0,-100.6,-39.697,-89.602,0,0,0,0,0,,0,0,0,0,0
121,5,0,8,4,1,0,0,0,0,0,255,255,255,54,4300.592,Dοpi,13,123,-1.961,-1.028,1,-209.553,400,-0.461,-17.951,0,2,1,하루（Haru）,190,44,0,0,0,0,0,0,0,0,0,0,0,0.045,-37.364,-0.424,-17.875,-22.681,-48.125,-12.189,-65.235,17.901,-43.515,13.519,-64.072,46.754,-96.006,0,-100.6,-38.553,-89.698,0,0,0,0,0,,0,0,0,0,0
122,5,0,8,4,2,0,0,0,0,0,255,255,255,55,4314.572,Dοpi,0,140,-1.828,-0.71,2,81.04,-98.343,0,0,1,2,1,하루（Haru）,190,44,4315.706,106,93,87,94,94,-8.656,-40.359,0.538,0.095,-0.049,-0.463,-36.756,-0.154,-17.381,-24.042,-50.435,-12.36,-65.256,17.828,-43.126,13.526,-64.101,46.782,-96.018,0,-100.6,-38.576,-89.719,4315.511,2.867,-22.641,4316.831,4,-라후이-,17.269,-40.736,0,0,2
123,5,0,8,4,0,0,1,0,0,0,255,255,255,56,4343.954,Dοpi,8,111,0.845,-0.345,0,92.122,0,0,0,1,3,4,Slaris,174.6,43,0,0,0,0,0,0,0,0,0,0,0,-0.044,-37.256,-0.084,-17.11,-24.005,-50.174,-13.285,-64.599,18.307,-43.583,13.404,-64.682,44.634,-88.139,0,-100.6,-38.605,-88.274,0,0,0,0,0,,0,0,0,0,0
124,5,0,8,4,0,1,1,0,0,0,255,255,255,57,4358.682,Dοpi,3,109,-0.813,0.477,2,-429.521,177.741,0,0,1,3,4,Slaris,174.6,43,4359.685,103,179,75,144,105,35.138,8.084,0.892,-0.066,-0.026,-0.081,-36.706,-0.196,-17.126,-24.08,-50.178,-13.164,-64.554,17.873,-44.067,13.776,-64.716,44.645,-88.164,0,-100.6,-38.497,-88.942,4364.164,-19.125,-103.588,4369.324,8,ByeolBam,-22.445,-129.519,1,0,2
125,5,0,8,4,0,0,1,0,0,1,255,255,13,58,4402.729,Dοpi,0,129,-1.313,-0.033,2,33.209,-147.163,0,0,1,4,5,NABIMan,190,43,4403.744,106,113,35,123,70,40.938,-37.368,-0.189,0.035,-0.068,-0.355,-36.952,-0.058,-17.281,-22.988,-48.892,-12.736,-64.762,16.748,-43.675,14.909,-63.561,38.278,-84.203,0,-100.6,-38.511,-92.524,4408.164,35.456,-61.025,4408.271,5,소솨소솨,34.472,-59.899,0,0,1
126,5,0,8,4,0,0,2,0,0,1,255,255,13,59,4450.318,Dοpi,0,129,0.052,0.348,2,58.048,-127.257,0,0,1,5,0,TaeGeuk_,177.3,40,4451.125,103,143,0,130,63,14.573,26.044,-0.951,-0.179,-0.044,-0.378,-36.887,-0.259,-17.068,-23.734,-49.231,-12.551,-65.225,18.65,-41.301,13.64,-65.311,38.001,-77.961,0,-100.6,-34.325,-86.669,4452.817,-13.083,-47.739,4453.871,3,Oort__Cloud,-16.356,-54.792,0,32,2
127,6,1,8,4,0,0,0,0,0,0,255,255,255,66,4604.049,TaeGeuk_,3,107,-2.277,-0.039,2,-475.512,0,0,0,1,5,6,Kr_Luna,166.3,58,4604.963,118,147,26,136,68,32.561,-37.752,1,0.01,-0.033,0.342,-36.867,-0.248,-17.287,-21.249,-49.338,-13.191,-65.187,22.887,-52.739,13.333,-62.206,43.004,-89.23,0,-100.6,-27.531,-95.292,0,0,0,4608.311,4,Slaris,27.75,-57.248,0,0,1
128,6,1,8,4,0,0,1,0,0,0,255,255,255,67,4632.346,TaeGeuk_,3,107,-0.658,-0.622,2,-406.783,0,0,0,1,6,3,Oort__Cloud,160,43,4633.409,86,86,0,87,61,-29.986,46.929,0.947,-0.114,-0.179,0.538,-36.802,-0.453,-17.247,-20.669,-45.21,-13.346,-65.168,22.279,-49.54,14.821,-61.784,40.16,-84.869,0,-100.6,-35.533,-89.95,4633.071,-1.227,-19.237,4633.351,1,하루（Haru）,-0.179,-19.781,0,0,3
129,6,1,8,4,0,1,1,0,0,0,255,255,255,68,4652.32,TaeGeuk_,0,122,0.183,1.011,2,144.647,-8.455,0,0,1,6,3,Oort__Cloud,160,43,4653.295,96,123,0,117,61,36.342,36.63,-0.307,-0.114,-0.138,0.428,-36.915,-0.001,-17.278,-21.895,-46.924,-13.253,-65.297,20.879,-49.623,12.993,-63.608,43.189,-85.97,0,-100.6,-34.143,-84.47,0,0,0,4656.75,2,DoYaGee,-24.512,-51.687,0,0,1
130,6,1,8,4,0,0,2,0,0,0,255,255,255,69,4678.431,TaeGeuk_,0,132,-2.338,1.311,1,119.441,1.846,0,0,0,7,1,coder_,190,55,0,0,0,0,0,0,0,0,0,0,0,0.114,-37.821,-0.881,-17.294,-20.184,-46.153,-13.589,-64.822,22.797,-53.898,12.108,-62.366,43.137,-84.149,0,-100.6,-34.12,-79.703,0,0,0,0,0,,0,0,0,0,0
131,6,1,8,4,1,0,2,0,0,0,255,255,255,70,4693.621,TaeGeuk_,0,136,-0.661,1.032,2,185.762,5.648,0,0,1,7,1,coder_,190,55,4694.692,95,202,68,142,104,36.36,29.135,0.891,-0.153,-0.133,0.464,-36.833,-0.044,-17.082,-20.142,-46.046,-13.547,-64.882,24.619,-51.595,12.236,-62.305,47.723,-91.552,0,-100.6,-34.121,-79.698,4699.804,-45.231,-92.881,4700.111,8,Roscosmos,-44.064,-91.028,0,0,1
132,6,0,8,4,0,0,0,0,0,0,255,255,255,60,4789.457,Dοpi,0,140,-1.16,-0.538,0,53.275,-155.973,0,0,0,6,6,M_lunatic,174,29,0,0,0,0,0,0,0,0,0,0,0,-0.007,-37.276,-0.036,-17.032,-21.92,-46.662,-12.749,-64.75,18.515,-44.099,13.308,-64.44,38.117,-82.299,0,-100.6,-38.933,-84.577,0,0,0,0,0,,0,0,0,0,0
133,6,0,8,4,0,1,0,0,0,0,255,255,255,61,4803.585,Dοpi,0,134,-2.187,0.622,2,14.234,-151.44,0,0,1,6,6,M_lunatic,174,29,4804.703,82,74,0,64,64,-0.032,-14.221,-1,0.114,-0.124,-0.562,-36.83,-0.131,-17.233,-22.319,-47.129,-12.884,-64.595,18.612,-43.731,14.296,-64.49,38.01,-82.328,0,-100.6,-38.041,-86.32,4805.004,2.606,-32.274,4807.244,5,소솨소솨,8.602,-54.728,0,0,2
134,6,0,8,4,0,0,1,0,0,0,255,255,255,62,4834.325,Dοpi,3,109,0.222,1.524,2,-395.064,0,0,0,1,7,2,DoYaGee,190,50,4835.447,103,152,98,145,123,36.084,37.324,0.186,-0.127,-0.081,-0.087,-37.117,-0.154,-17.004,-24.285,-49.895,-12.881,-64.648,18.103,-44.044,13.182,-64.963,34.433,-87.956,0,-100.6,-39.021,-85.89,4840.71,-76.001,-100.905,0,0,,0,0,0,0,4
135,6,0,8,5,0,0,1,0,0,0,255,255,255,63,4879.9,Dοpi,0,140,0.098,-1.058,1,19.113,-200,-0.021,-17.594,0,0,3,오띵__,174.6,75,0,0,0,0,0,0,0,0,0,0,0,0.046,-37.305,-0.096,-17.501,-23.611,-48.883,-13.11,-64.71,18.253,-41.959,12.514,-64.606,32.369,-88.668,0,-100.6,-39.898,-90.126,0,0,0,0,0,,0,0,0,0,0
136,6,0,8,5,1,0,1,0,0,0,255,255,255,64,4892.552,Dοpi,0,140,0.789,0.247,2,65.903,-135.514,0,0,1,0,3,오띵__,174.6,75,4893.617,96,86,0,93,64,97.997,-79.802,-0.823,0.054,-0.041,-0.268,-36.645,-0.236,-17.344,-22.838,-49.373,-13.073,-64.752,18.616,-40.501,12.75,-64.598,32.379,-88.671,0,-100.6,-38.621,-87.479,4897.964,-36.823,-11.28,0,0,,0,0,0,0,3
