id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
28,2,1,2,0,0,0,0,0,1,1,255,3,5,17,1111.25,Oort__Cloud,R,6,103,1.716,0.71,-0.005,1.573,-36.594,2,0,360.432,0,17.247,0,0,1,8,1,R,coder_,179.7,95,0.448,3,55,1112.427,105,40,38,29,33,107,67,14.039,5.593,-0.47,-0.114,-0.037,0.102,0,0,0,-0.287,-36.817,하루（Haru）,0.235,-17.133,CAT tourniquet,-20.296,-44.383,IllilliIIIIllil,-9.557,-61.919,_이누_,18.288,-46.879,Yaksok~,8.747,-62.064,즉석카레,39.154,-93.125,Multeinn,0.557,-103.703,NABIMan,-46.298,-90.429,1115.039,-3.988,-57.534,1115.372,3,IllilliIIIIllil,-3.927,-57.041,1,0,0,0,0,0,0,2
29,2,1,2,0,0,0,0,1,1,1,1,3,5,18,1145.027,Oort__Cloud,R,27,140,1.405,1.006,0.071,1.586,-36.535,1,0,53.355,-123.109,5.841,0.749,-6.454,0,0,4,R,Tamari_,190,86,0.2,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,-36.702,하루（Haru）,1.251,-16.681,CAT tourniquet,-20.076,-42.536,IllilliIIIIllil,-10.944,-63.959,_이누_,18.241,-45.438,Yaksok~,7.81,-64.919,즉석카레,36.589,-91.827,Multeinn,-0.315,-101.138,NABIMan,-45.002,-90.737,0,0,0,0,0,,0,0,0,65,0,0,0,0,0,0
30,2,1,2,0,1,0,1,0,1,1,255,255,3,19,1183.423,Oort__Cloud,R,28,134,1.045,-0.855,0.073,1.384,-36.564,0,0,75.72,-98.655,7.28,0,0,0,0,4,R,Tamari_,190,86,0.2,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.089,-37.266,하루（Haru）,0.271,-17.202,CAT tourniquet,-20.972,-48.076,IllilliIIIIllil,-14.004,-63.715,_이누_,17.596,-46.984,Yaksok~,8.872,-64.351,즉석카레,37.781,-91.055,Multeinn,0.922,-103.885,NABIMan,-44.356,-91.034,0,0,0,0,0,,0,0,0,256,0,0,0,0,0,0
31,2,1,3,0,0,0,2,0,0,0,255,255,255,20,1236.371,Oort__Cloud,R,27,140,-3.253,-0.471,-0.216,1.398,-36.416,4,0,62.031,-120.068,16.728,0,0,1,0,4,R,Tamari_,190,86,0.2,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044,-37.195,하루（Haru）,-0.376,-17.117,CAT tourniquet,-20.703,-47.525,IllilliIIIIllil,-13.352,-63.631,_이누_,19.24,-52.052,Yaksok~,8.363,-64.491,즉석카레,37.106,-90.075,Multeinn,0.948,-94.546,NABIMan,-42.352,-88.102,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
32,2,1,3,0,1,2,2,0,0,0,255,255,255,21,1258.799,Oort__Cloud,R,0,130,-0.543,-1.66,-0.033,1.275,-36.392,1,0,0,0,18.33,0,0,0,0,4,R,Tamari_,190,86,0.2,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.242,-36.861,하루（Haru）,-0.122,-17.046,CAT tourniquet,-20.781,-48.548,IllilliIIIIllil,-13.08,-63.682,_이누_,16.983,-51.631,Yaksok~,5.487,-63.598,즉석카레,37.729,-91.205,Multeinn,1.176,-102.795,NABIMan,-41.707,-88.122,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0
33,2,0,3,0,0,0,0,0,0,0,255,255,255,10,1339.024,Penguin_iDOL,R,32,111,2.104,0.624,0.223,1.964,-36.696,1,0,206.666,-22.004,20.928,0,0,0,3,1,L,하루（Haru）,190,107,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.039,-37.65,coder_,-0.096,-17.118,Pring__,-21.028,-47.133,D_arling,-9.533,-66.366,Tamari_,24.923,-52.016,ʚEveɞ,11.898,-65.024,소솨소솨,41.816,-80.974,ʚneul_ɞ,1.083,-108.276,아침땅_,-32.57,-94.741,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
34,2,0,3,0,1,0,0,0,0,0,255,255,255,11,1352.082,Penguin_iDOL,R,32,130,5.558,0.546,0.435,1.953,-36.721,1,0,220.636,-15.339,33.83,2.015,-8.34,0,3,1,L,하루（Haru）,190,107,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,-37.443,coder_,0.155,-17.159,Pring__,-21.153,-47.092,D_arling,-9.506,-66.335,Tamari_,24.741,-52.86,ʚEveɞ,11.872,-64.994,소솨소솨,41.808,-80.993,ʚneul_ɞ,1.019,-108.429,아침땅_,-32.55,-94.738,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
35,2,0,3,0,2,0,0,0,0,0,255,255,255,12,1366.619,Penguin_iDOL,R,34,140,2.057,0.8,0.258,1.978,-36.638,1,0,77.637,-45.133,17.809,0,0,0,3,1,L,하루（Haru）,190,107,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066,-37.542,coder_,-0.049,-17.248,Pring__,-21.053,-47.298,D_arling,-9.149,-66.516,Tamari_,24.856,-52.99,ʚEveɞ,11.887,-65.005,소솨소솨,41.809,-81.03,ʚneul_ɞ,1.04,-108.397,아침땅_,-32.623,-94.787,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
36,2,0,3,0,3,0,0,0,0,0,255,255,255,13,1378.836,Penguin_iDOL,R,0,132,-0.466,-0.131,0.12,1.863,-36.515,0,0,21.008,-30.672,8.363,0,0,0,3,1,L,하루（Haru）,190,107,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.361,-37.588,coder_,-0.065,-17.207,Pring__,-21.046,-47.232,D_arling,-9.165,-66.537,Tamari_,24.999,-52.989,ʚEveɞ,11.894,-65.029,소솨소솨,41.838,-81.02,ʚneul_ɞ,1.029,-108.39,아침땅_,-32.985,-94.942,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
37,2,0,3,0,3,1,0,0,0,0,255,255,255,14,1391.039,Penguin_iDOL,R,0,129,0.91,0.07,0.201,1.89,-36.596,0,0,35.768,-25.391,5.911,0,0,1,3,1,L,하루（Haru）,190,107,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069,-37.713,coder_,-0.078,-17.156,Pring__,-21.05,-47.243,D_arling,-9.181,-66.549,Tamari_,25.073,-52.414,ʚEveɞ,11.913,-65.033,소솨소솨,41.852,-81.034,ʚneul_ɞ,1.038,-108.344,아침땅_,-32.892,-94.836,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
38,2,0,3,0,3,2,0,0,0,0,255,255,255,15,1402.543,Penguin_iDOL,R,14,101,0.688,-0.59,0.056,1.909,-36.564,2,0,358.49,312.348,30.545,0,0,1,3,1,L,하루（Haru）,190,107,0.5,3,55,1403.512,218,95,77,57,32,150,130,26.646,-5.033,0.32,0.054,-0.031,0.043,0,0,0,-0.423,-36.776,coder_,-0.085,-17.419,Pring__,-21.055,-47.246,D_arling,-9.145,-66.439,Tamari_,24.956,-52.095,ʚEveɞ,11.888,-64.853,소솨소솨,41.768,-81.083,ʚneul_ɞ,1.045,-108.535,아침땅_,-32.979,-94.948,1408.272,28.5,-123.424,1410.339,7,ʚneul_ɞ,20.85,-122.003,1,0,0,0,0,0,0,2
39,2,0,3,0,0,0,0,0,1,0,255,10,255,16,1438.472,Penguin_iDOL,R,27,130,-0.171,-0.162,0.147,1.842,-36.579,0,0,-13.101,-103.919,14.449,0,0,0,4,4,R,_이누_,190,90,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.383,-37.43,coder_,-0.136,-17.245,Pring__,-22.041,-47.034,D_arling,-10.858,-65.113,Tamari_,22.55,-48.803,ʚEveɞ,9.049,-66.693,소솨소솨,29.604,-83.356,ʚneul_ɞ,-0.995,-110.189,아침땅_,-37.847,-84.131,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
40,2,0,3,0,0,1,0,0,1,0,255,10,255,17,1452.918,Penguin_iDOL,R,27,127,-1.073,0.086,0.082,1.875,-36.484,2,0,25.548,-101.087,12.936,0,0,1,4,4,R,_이누_,190,90,0.5,2,55,1453.818,140,134,74,0,129,150,114,30.127,31.274,0.86,-0.077,-0.108,0.216,0,0,0,-0.145,-36.972,coder_,-0.126,-17.471,Pring__,-22.028,-47.036,D_arling,-10.811,-65.123,Tamari_,22.561,-46.282,ʚEveɞ,5.397,-65.168,소솨소솨,28.497,-83.576,ʚneul_ɞ,-0.873,-111.232,아침땅_,-37.81,-84.335,1458.839,-62.861,-94.864,1461.139,6,즉석카레,-60.368,-89.715,1,0,0,0,0,0,0,2
41,2,0,3,1,0,0,0,0,1,0,255,13,255,18,1509.219,Penguin_iDOL,R,28,130,-0.38,-0.631,0.118,1.805,-36.511,0,0,49.954,-81.187,15.883,0,0,0,5,5,R,Yaksok~,165.9,92.369,0.505,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.425,-37.482,coder_,-0.12,-17.069,Pring__,-23.481,-48.762,D_arling,-10.424,-65.459,Tamari_,21.903,-46.503,ʚEveɞ,8.749,-66.713,소솨소솨,26.026,-80.392,ʚneul_ɞ,-1.683,-111.636,아침땅_,-40.032,-86.768,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
42,2,0,3,1,0,1,0,0,1,0,255,13,255,19,1526.97,Penguin_iDOL,R,1,99,-0.998,-1.22,0.069,1.882,-36.448,1,0,0,0,11.479,0,0,0,5,5,R,Yaksok~,165.9,92.369,0.505,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.466,-37.565,coder_,-0.011,-17.882,Pring__,-23.408,-48.485,D_arling,-10.389,-65.402,Tamari_,22.939,-46.917,ʚEveɞ,5.735,-65.326,소솨소솨,26.022,-80.402,ʚneul_ɞ,-1.581,-111.66,아침땅_,-39.704,-86.314,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
43,2,0,3,1,1,1,0,0,1,0,255,13,255,20,1541.5,Penguin_iDOL,R,6,108,1.236,0.354,0.095,1.966,-36.526,0,0,464.634,146.357,19.634,0,0,1,5,5,R,Yaksok~,165.9,92.369,0.505,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.449,-37.544,coder_,-0.074,-17.127,Pring__,-23.457,-48.339,D_arling,-10.403,-65.42,Tamari_,23.448,-48.135,ʚEveɞ,8.53,-66.053,소솨소솨,26.111,-80.347,ʚneul_ɞ,-1.556,-111.729,아침땅_,-39.784,-86.229,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
