id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,balk,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
89,4,0,3,3,0,1,2,0,0,0,255,255,255,42,2585.271,Pugeuk,R,0,131,-0.52,0.523,0,0,161.129,-115.893,0,0,1,1,5,R,Gonyong,179.9,95,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,-37.925,coder_,-0.152,-17.481,-라후이-,-20.909,-49.509,IllilliIIIIllil,-11.358,-64.643,별이__,22.083,-51.575,아침땅_,11.076,-64.96,소솨소솨,31.749,-80.781,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
90,4,0,3,3,0,2,2,0,0,0,255,255,255,43,2605.581,Pugeuk,R,3,99,-3.647,-0.274,1,0,-368.57,0,0,0,0,1,5,R,Gonyong,179.9,95,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,-37.782,coder_,-0.515,-17.216,-라후이-,-20.079,-47.015,IllilliIIIIllil,-11.347,-64.681,별이__,22.06,-51.553,아침땅_,11.328,-64.9,소솨소솨,31.779,-80.778,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
91,4,0,3,3,1,2,2,0,0,0,255,255,255,44,2620.838,Pugeuk,R,0,88,-2.972,0.114,1,0,-3.169,-77.098,0,0,0,1,5,R,Gonyong,179.9,95,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,-37.951,coder_,-0.272,-17.201,-라후이-,-19.047,-46.531,IllilliIIIIllil,-11.299,-64.705,별이__,22.408,-51.651,아침땅_,11.598,-64.785,소솨소솨,31.782,-80.78,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
92,4,0,3,3,2,2,2,0,0,0,255,255,255,45,2634.089,Pugeuk,R,0,88,-2.946,-0.159,1,0,19.921,-34.749,0,0,0,1,5,R,Gonyong,179.9,95,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044,-37.529,coder_,-0.263,-17.246,-라후이-,-18.014,-48.001,IllilliIIIIllil,-11.31,-64.97,별이__,22.427,-51.652,아침땅_,10.928,-65.328,소솨소솨,31.755,-80.795,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
93,4,0,3,3,3,2,2,0,0,0,255,255,255,46,2653.492,Pugeuk,R,5,94,-0.407,0.293,2,0,-85.966,0,0,0,1,1,5,R,Gonyong,179.9,95,0.2,3,59,2654.548,134,98,52,142,128,17.488,26.861,0.63,-0.036,-0.038,0.15,0,0,0,-0.374,-37.224,coder_,-0.356,-17.486,-라후이-,-21.801,-50.984,IllilliIIIIllil,-11.479,-64.664,별이__,22.36,-51.577,아침땅_,11.553,-64.847,소솨소솨,31.934,-80.852,AI,0,-100.6,AI,-35.7,-81.8,2660.052,-52.554,-92.457,2663.919,2,-라후이-,-24.29,-48.8,1,0,0,0,0,0,0,0
94,4,0,3,3,0,0,2,1,0,0,14,255,255,47,2690.161,Pugeuk,R,0,104,-2.053,-0.238,1,0,67.626,-20.091,0,0,0,2,1,R,Roscosmos,174.8,88,0.37,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.067,-37.725,coder_,-1.622,-19.572,-라후이-,-19.522,-40.546,IllilliIIIIllil,-8.435,-64.369,별이__,22.773,-52.506,아침땅_,5.614,-64.563,소솨소솨,31.833,-80.942,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
95,4,0,3,3,1,0,2,0,1,0,255,14,255,48,2728.457,Pugeuk,R,0,140,-1.937,-1.73,1,0,53.616,-130.971,-0.385,-17.46,0,2,1,R,Roscosmos,174.8,88,0.37,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133,-37.887,coder_,-0.507,-17.541,-라후이-,-19.989,-43.48,IllilliIIIIllil,-12.507,-64.247,별이__,20.136,-42.657,아침땅_,4.092,-65.333,소솨소솨,31.897,-80.879,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
96,4,0,3,3,2,0,2,0,1,0,255,14,255,49,2744.91,Pugeuk,R,0,138,1.518,-0.899,1,0,98.514,-64.533,0,0,0,2,1,R,Roscosmos,174.8,88,0.37,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,-37.522,coder_,-0.13,-17.376,-라후이-,-20.153,-49.858,IllilliIIIIllil,-12.637,-64.22,별이__,20.82,-45.954,아침땅_,1.38,-63.044,소솨소솨,31.824,-80.918,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
97,4,0,3,3,3,0,2,0,1,0,255,14,255,50,2771.227,Pugeuk,R,3,93,-0.565,0.545,0,0,-406.354,0,0,0,1,2,1,R,Roscosmos,174.8,88,0.37,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197,-37.39,coder_,0.049,-17.334,-라후이-,-19.218,-47.286,IllilliIIIIllil,-12.857,-64.193,별이__,19.516,-40.604,아침땅_,6.356,-63.866,소솨소솨,31.814,-80.993,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
98,4,0,3,3,3,1,2,0,0,1,255,255,14,51,2826.295,Pugeuk,R,7,119,0.588,0.488,2,0,175.331,0,0,0,1,2,1,R,Roscosmos,174.8,88,0.37,3,59,2827.176,129,120,110,144,125,97.211,-78.664,0.25,-0.091,-0.154,0.191,0,0,0,-0.039,-37.694,coder_,-0.158,-17.188,-라후이-,-19.514,-46.33,IllilliIIIIllil,-12.643,-64.304,별이__,19.328,-40.331,아침땅_,9.746,-65.706,소솨소솨,31.788,-80.983,AI,0,-100.6,AI,-35.7,-81.8,2833.752,-90.521,-3.749,0,0,,0,0,0,0,0,0,0,0,0,0
