id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
44,2,0,1,3,0,1,2,0,0,1,255,255,14,21,1504.343,encounter v,R,27,111,5.615,18.973,0.056,1.934,-37.531,1,0,89.215,-110.535,-20.656,0,0,0,0,8,R,Penguin_iDOL,180,90.011,0.501,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,-36.966,소솨소솨,-0.016,-16.955,coder_,-22.705,-46.922,Oort__Cloud,-12.115,-62.9,Kr_Luna,18.365,-45.006,Pugeuk,11.091,-60.452,Yaksok~,35.413,-78.48,mungjungh,-0.635,-107.473,HANA_ARASHI,-41.195,-100.382,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
45,2,0,1,4,1,1,2,0,0,0,255,255,255,22,1528.938,encounter v,R,26,140,1.708,-0.005,0.303,1.683,-36.426,2,0,126.472,-200,-17.942,0,0,1,0,8,R,Penguin_iDOL,180,90.011,0.501,3,55,1530.035,202,89,71,33,62,146,94,90.962,88.648,-0.48,-0.015,-0.003,0.059,0,0.151,-36.722,소솨소솨,-0.067,-17.303,coder_,-25.668,-52.689,Oort__Cloud,-13.089,-64.41,Kr_Luna,19.347,-49.982,Pugeuk,10.624,-63.305,Yaksok~,36.534,-81.284,mungjungh,-0.059,-102.697,HANA_ARASHI,-42.001,-101.317,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
46,2,0,1,4,1,2,2,0,0,0,255,255,255,23,1547.994,encounter v,R,26,134,0.01,-0.015,0.152,1.68,-36.468,2,0,78.666,-200,-13.559,0,0,1,0,8,R,Penguin_iDOL,180,90.011,0.501,3,55,1549.114,78,62,64,25,39,120,84,34.335,-2.822,-0.05,-0.003,-0.033,0.163,0,-0.218,-36.964,소솨소솨,-0.094,-17.311,coder_,-25.197,-51.584,Oort__Cloud,-13.048,-64.443,Kr_Luna,20.007,-50.843,Pugeuk,11.068,-64.274,Yaksok~,38.604,-80.022,mungjungh,0.13,-102.665,HANA_ARASHI,-43.35,-99.33,1553.972,-0.824,-84.805,1554.094,7,mungjungh,-0.77,-82.817,0,0,0,0,0,0,0,1
47,3,1,1,4,0,0,0,0,0,0,255,255,255,22,1605.063,눈꽃,R,45,95,3.168,0.41,0.263,1.918,-36.569,3,0,193.234,-77.792,14.78,0.235,-20.944,0,0,7,R,mungjungh,160,86,0.551,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,-37.465,하루（Haru）,0.135,-17.402,それいゆ るな,-20.367,-46.33,わかなで,-8.052,-56.676,인생최패망자,12.305,-46.261,아침땅_,11.282,-65.488,-라후이-,25.034,-78.018,alcohol500,-1.64,-105.174,Penguin_iDOL,-40.22,-96.591,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,6
48,3,1,1,4,2,0,0,0,0,0,255,255,255,23,1632.385,눈꽃,R,28,140,2.687,0.342,-0.108,1.813,-36.439,4,0,56.366,-62.463,18.49,0.133,-20.929,1,0,7,R,mungjungh,160,86,0.551,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,-36.945,하루（Haru）,-0.057,-18.302,それいゆ るな,-22.128,-46.594,わかなで,-10.498,-60.488,인생최패망자,13.97,-47.072,아침땅_,11.288,-65.231,-라후이-,36.137,-88.565,alcohol500,-2.168,-106.332,Penguin_iDOL,-43.894,-90.5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
49,3,1,1,4,2,1,0,0,0,0,255,255,255,24,1657.133,눈꽃,R,32,140,0.909,0.066,-0.153,1.85,-36.459,2,0,236.431,-182.23,34.8,0,0,1,0,7,R,mungjungh,160,86,0.551,3,61,1658.056,135,48,21,15,62,105,61,18.28,-18.599,-0.49,-0.114,-0.082,0.049,0,-0.041,-36.912,하루（Haru）,0.106,-17.191,それいゆ るな,-22.144,-46.899,わかなで,-13.579,-59.838,인생최패망자,16.173,-49.496,아침땅_,11.415,-65.215,-라후이-,34.975,-94.15,alcohol500,-2.589,-106.316,Penguin_iDOL,-44.372,-90.613,0,0,0,1660.372,4,인생최패망자,8.401,-45.765,0,0,0,0,0,0,0,1
50,3,1,1,4,0,0,1,0,0,0,255,255,255,25,1683.655,눈꽃,R,13,105,-0.957,-0.793,-0.008,1.749,-36.33,0,0,-372.687,312.348,0.294,0,0,0,1,5,R,Pugeuk,160,91,0.547,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.321,-37.653,하루（Haru）,-0.103,-17.498,それいゆ るな,-23.514,-47.517,わかなで,-12.695,-61.44,인생최패망자,16.71,-49.146,아침땅_,10.363,-65.999,-라후이-,33.994,-85.445,alcohol500,-3.8,-103.936,Penguin_iDOL,-43.064,-86.755,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
51,3,1,1,4,0,1,1,0,0,0,255,255,255,26,1698.123,눈꽃,R,1,140,-0.027,-2.099,0.018,1.794,-36.443,1,0,0,0,3.269,0,0,0,1,5,R,Pugeuk,160,91,0.547,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,-37.713,하루（Haru）,0.102,-17.484,それいゆ るな,-23.016,-47.813,わかなで,-12.637,-62.031,인생최패망자,16.518,-49.52,아침땅_,10.421,-65.997,-라후이-,33.652,-84.533,alcohol500,-3.781,-103.909,Penguin_iDOL,-43.063,-86.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
52,3,1,1,4,1,1,1,0,0,0,255,255,255,27,1710.385,눈꽃,R,14,107,1.941,-1.58,0.041,1.735,-36.359,4,0,379.774,312.363,13.024,0,0,1,1,5,R,Pugeuk,160,91,0.547,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,-37.482,하루（Haru）,0.292,-17.516,それいゆ るな,-22.119,-46.716,わかなで,-12.676,-61.981,인생최패망자,15.852,-48.131,아침땅_,10.358,-65.995,-라후이-,35.797,-81.345,alcohol500,-3.801,-103.801,Penguin_iDOL,-43.202,-86.652,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
53,3,1,1,4,1,2,1,0,0,0,255,255,255,28,1727.984,눈꽃,R,14,106,-0.126,-1.238,-0.079,1.84,-36.336,2,0,228.011,400,7.984,0,0,1,1,5,R,Pugeuk,160,91,0.547,3,64,1729.203,88,124,72,30,255,132,103,-30,21.91,0.94,-0.015,-0.046,0.264,0,-0.029,-37.003,하루（Haru）,0.274,-17.585,それいゆ るな,-22.279,-45.399,わかなで,-12.661,-61.96,인생최패망자,16.085,-49.5,아침땅_,10.341,-65.905,-라후이-,40.688,-75.884,alcohol500,-3.204,-104.547,Penguin_iDOL,-43.372,-87.876,1729.269,-0.368,-21.536,1731.294,3,わかなで,-14.177,-55.743,1,0,0,0,0,0,0,2
