id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result,scoreA,scoreB,hMoveX,hMoveY,tag
148,8,1,0,2,2,0,0,1,255,255,2,81,5433.801,-라후이-,10,128,1.45,-1.432,2,0,400,0,0,1,3,1,Pring__,180.4,45,5434.557,110,160,39,147,73,-42.774,-39.39,1,0.134,-36.567,0.164,-17.363,-21.48,-45.963,-13.054,-64.856,18.99,-43.56,14.716,-64.315,43.158,-82.167,5.49,-116.81,-48.349,-85.652,5338.492,0.642,-20.982,5340.609,4,なおｐ--,16.854,-40.882,0,2,0,0,0,0,0
149,8,0,0,0,0,0,0,0,255,255,255,66,5784.284,-Alta-,7,103,-1.22,-0.007,2,-226.435,0,0,0,1,4,2,encounter v,190,45,5785.495,120,173,20,146,129,2.074,-7.952,0.267,0.391,-37.141,-0.289,-16.756,-18.209,-47.087,-14.026,-64.253,19.95,-45.685,15.175,-62.446,50.263,-86.632,0.016,-110.202,-42.126,-90.32,5690.217,5.646,-52.024,5697.409,7,mungjungh,6.679,-126.425,1,2,0,0,0,0,0
150,8,0,0,0,0,0,1,0,255,11,255,67,5852.694,-Alta-,0,134,0.739,0.46,0,-6.867,-64.096,0,0,1,5,3,Slaris,174.6,45,0,0,0,0,0,0,0,0,0,-0.037,-36.976,0.092,-17.343,-19.999,-46.034,-13.179,-63.817,19.097,-43.015,6.601,-62.56,51.217,-89.177,-3.737,-117.838,-41.443,-90.892,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
151,8,0,0,1,0,0,1,0,255,11,255,68,5870.629,-Alta-,0,140,-0.121,1.218,4,-3.159,-166.548,0,0,1,5,3,Slaris,174.6,45,0,0,0,0,0,0,0,0,0,0.096,-36.589,2.475,-17.451,-19.636,-46.889,-13.575,-64.317,20.525,-42.271,9.731,-64.429,51.351,-89.159,-3.064,-117.458,-41.446,-90.931,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
152,8,0,0,2,1,0,0,0,255,255,255,69,5894.792,-Alta-,6,108,-2.668,-0.638,1,-418.754,0,0,0,0,5,3,Slaris,174.6,45,0,0,0,0,0,0,0,0,0,0.134,-37.089,-0.464,-16.593,-18.931,-44.901,-13.805,-64.024,18.981,-46.959,9.676,-64.358,50.302,-88.45,-3.03,-117.51,-41.46,-90.957,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
153,8,0,1,2,1,0,0,0,255,255,255,70,5908.85,-Alta-,0,114,1.163,0.135,2,0,0,0,0,1,5,3,Slaris,174.6,45,5909.807,115,183,73,154,89,52.806,55.256,0.974,0.422,-36.937,-0.339,-16.588,-19.314,-45.86,-13.788,-64.039,19.306,-47.132,9.212,-66.162,50.416,-88.291,-3.036,-117.484,-41.437,-90.919,5818.426,-55.964,-59.612,0,0,,0,0,0,3,0,0,0,0,0
154,8,0,1,2,1,0,0,0,255,255,255,71,5931.382,-Alta-,0,140,1.476,-0.439,2,-26.067,-87.049,0,0,1,5,3,Slaris,174.6,66,5932.273,114,210,71,155,97,13.085,-22.51,0.958,0.479,-36.998,0.163,-16.497,-19.261,-47.046,-14.184,-64.482,19.837,-44.736,12.031,-64.993,50.267,-88.725,-0.259,-115.053,-44.345,-89.851,5838.309,19.559,-67.572,5845.109,6,_Chun,35.652,-116.907,1,2,0,0,0,0,0
155,8,0,0,0,1,0,1,0,255,12,255,72,5973.196,-Alta-,13,120,1.338,-0.097,0,341.762,364.964,0.69,-14.573,0,6,9,인생최패망자,190,45,0,0,0,0,0,0,0,0,0,0.163,-36.984,0.485,-17.309,-20.887,-48.124,-12.358,-63.598,19.22,-43.204,5.284,-61.603,47.001,-86.855,2.549,-123.182,-43.243,-89.117,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
156,8,0,0,1,1,0,1,0,255,12,255,73,5991.968,-Alta-,0,140,0.417,-0.246,0,-72.178,-187.74,-0.384,-17.139,1,6,9,인생최패망자,190,45,0,0,0,0,0,0,0,0,0,-0.014,-36.669,0.086,-16.727,-20.94,-48.236,-10.909,-63.507,19.652,-42.621,0.635,-60.14,48.937,-88.342,2.549,-123.153,-40.47,-90.325,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
157,8,0,0,2,1,0,1,0,255,12,255,74,6013.951,-Alta-,0,135,-0.236,1.049,2,-30.279,-178.439,0,0,1,6,9,인생최패망자,190,45,6014.994,97,171,22,143,67,42.62,43.392,-0.422,0.365,-37.051,0.081,-16.55,-20.933,-48.324,-13.451,-64.716,19.804,-44.909,9.995,-66.058,48.876,-88.452,-0.121,-118.85,-41.095,-91.067,5923.217,-33.622,-57.533,5925.25,8,오띵__,-40.919,-66.223,1,2,0,0,0,0,0
