id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
21,2,1,1,0,2,2,0,0,0,0,255,255,255,14,1010.735,_이누_,R,0,122,1.482,1.69,-36.971,2,0,0,0,0,0,0,0,4,3,R,_앰프_,170.6,90,0.396,3,82,1011.91,12,8,9,0,39,-82.138,78.911,0.34,0.005,0.006,0.059,0,0,0,-0.17,-36.953,ʚEveɞ,-0.106,-17.005,하루（Haru）,-19.831,-46.298,Soleil Luna,-11.317,-64.626,coder_,16.684,-49.499,HANA_ARASHI,12.513,-64.326,별이__,36.982,-87.701,AI,0,-100.6,AI,-35.7,-81.8,999.644,-0.521,-18.222,1006.144,1,ʚEveɞ,-17.725,-19.15,0,0,0,0,0,0,0,2
22,2,1,1,0,2,2,0,0,0,0,255,255,255,15,1035.81,_이누_,R,0,117,-0.37,-0.263,-36.307,2,0,0,0,0,0,0,1,4,3,R,_앰프_,170.6,90,0.396,3,79,1036.889,213,157,61,150,98,25.561,-23.078,0.91,-0.161,-0.137,0.349,0,0,0,-0.505,-36.734,ʚEveɞ,-0.002,-16.976,하루（Haru）,-20.563,-47.122,Soleil Luna,-12.313,-63.627,coder_,16.048,-48.269,HANA_ARASHI,13.64,-59.841,별이__,37.103,-87.504,AI,0,-100.6,AI,-35.7,-81.8,1035.637,19.062,-131.207,1042.88,4,coder_,17.864,-35.125,1,0,0,0,0,0,0,2
23,2,1,1,0,0,0,0,0,0,1,255,255,3,16,1090.243,_이누_,R,14,108,1.666,0.181,-36.58,4,0,317.513,381.336,-10.478,0.919,-16.873,1,5,0,L,IllilliIIIIllil,174.5,95.213,0.497,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239,-37.484,ʚEveɞ,-0.021,-16.904,하루（Haru）,-20.637,-47.905,Soleil Luna,-8.283,-64.57,coder_,17.056,-46.827,HANA_ARASHI,14.667,-59.973,별이__,39.641,-88.445,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
24,2,1,1,0,0,1,0,0,0,1,255,255,3,17,1106.485,_이누_,R,0,140,-0.428,-1.302,-36.407,4,0,0,0,0,0,0,1,5,0,L,IllilliIIIIllil,174.5,95.213,0.497,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139,-37.575,ʚEveɞ,-0.021,-17.083,하루（Haru）,-20.479,-46.327,Soleil Luna,-11.644,-65.285,coder_,18.742,-44.343,HANA_ARASHI,14.956,-61.658,별이__,39.14,-87.13,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
25,2,1,1,0,0,2,0,0,0,1,255,255,3,18,1124.653,_이누_,R,0,129,2.966,0.528,-36.745,4,0,0,0,2.141,0.521,-17.132,1,5,0,L,IllilliIIIIllil,174.5,95.213,0.497,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31,-37.397,ʚEveɞ,0.624,-17,하루（Haru）,-20.273,-46.833,Soleil Luna,-9.496,-64.374,coder_,18.393,-46.262,HANA_ARASHI,14.452,-63.227,별이__,39.205,-86.162,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
26,2,1,1,0,0,0,1,0,0,1,255,255,3,19,1156.704,_이누_,R,13,116,2.335,-0.945,-36.529,1,0,-287.523,400,12.097,0,0,0,0,2,L,Pring__,179.7,94.637,0.401,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107,-37.333,ʚEveɞ,0.006,-16.884,하루（Haru）,-19.69,-46.039,Soleil Luna,-9.473,-59.509,coder_,18.91,-45.305,HANA_ARASHI,17.619,-58.862,별이__,41.268,-86.126,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
27,2,1,1,0,1,0,1,0,0,1,255,255,3,20,1190.282,_이누_,R,0,123,2.693,1.917,-36.703,1,0,0,0,0,0,0,0,0,2,L,Pring__,179.7,94.637,0.401,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079,-37.346,ʚEveɞ,-0.031,-16.995,하루（Haru）,-19.953,-44.492,Soleil Luna,-9.572,-59.701,coder_,18.279,-43.369,HANA_ARASHI,14.35,-62.883,별이__,42.954,-83.573,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
28,2,1,1,0,2,0,1,0,0,1,255,255,3,21,1210.298,_이누_,R,0,140,-0.349,-1.038,-36.356,2,0,0,0,0,0,0,1,0,2,L,Pring__,179.7,94.637,0.401,3,77,1211.077,137,109,27,134,83,-1.65,25.962,-0.06,0.021,-0.078,0.261,0,0,0,-0.189,-36.783,ʚEveɞ,-0.043,-17.036,하루（Haru）,-20.33,-47.248,Soleil Luna,-10.604,-60.234,coder_,19.082,-41.515,HANA_ARASHI,14.783,-60.724,별이__,42.98,-83.603,AI,0,-100.6,AI,-35.7,-81.8,1202.769,-26.01,-76.114,1205.867,5,HANA_ARASHI,-1.528,-60.158,1,0,0,0,0,0,0,2
29,2,1,2,0,0,0,1,1,0,0,2,255,255,22,1246.631,_이누_,R,4,106,0.202,0.467,-36.584,0,0,-208.237,0,11.729,0,0,0,1,1,L,vovopo 보보포,175.3,94,0.549,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26,-37.178,ʚEveɞ,-0.288,-16.995,하루（Haru）,-17.156,-44.391,Soleil Luna,-10.479,-60.031,coder_,22.39,-49.805,HANA_ARASHI,11.324,-66.497,별이__,40.329,-82.067,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
30,2,1,2,0,0,1,1,1,0,0,2,255,255,23,1263.524,_이누_,R,10,109,-0.992,0.043,-36.756,2,0,0,400,15.204,0,0,1,1,1,L,vovopo 보보포,175.3,94,0.549,3,76,1264.657,198,150,40,150,88,-0.323,-23.201,-0.49,0.012,-0.104,0.463,0,0,0,-0.293,-36.963,ʚEveɞ,-0.055,-16.993,하루（Haru）,-19.183,-41.04,Soleil Luna,-7.015,-63.348,coder_,21.004,-47.88,HANA_ARASHI,11.655,-61.723,별이__,40.36,-82.123,AI,0,-100.6,AI,-35.7,-81.8,1252.825,4.475,-31.153,1254.568,5,HANA_ARASHI,13.088,-56.872,1,0,0,0,0,0,0,2
31,2,1,2,0,0,0,2,1,0,0,1,255,255,24,1492.972,_이누_,R,0,140,-0.487,-0.825,-36.417,0,0,0,0,0,0,0,0,2,4,R,magimari,190,90,0.502,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156,-37.46,ʚEveɞ,-0.121,-16.559,하루（Haru）,-16.492,-45.262,별이__,-16.997,-60.884,coder_,16.727,-48.841,HANA_ARASHI,11.705,-63.785,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
32,2,1,2,0,0,1,2,1,0,0,1,255,255,25,1510.805,_이누_,R,0,139,-0.194,-0.033,-36.459,2,0,0,0,0,0,0,1,2,4,R,magimari,190,90,0.502,2,45,1511.867,156,109,19,134,84,-14.554,18.802,-0.44,0.056,-0.092,0.226,0,0,0,-0.43,-37.005,ʚEveɞ,-0.09,-16.577,하루（Haru）,-17.801,-42.055,별이__,-10.269,-59.663,coder_,19.46,-44.822,HANA_ARASHI,6.677,-65.073,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,1507.026,-27.501,-104.991,1510.61,3,별이__,-6.376,-69.39,1,0,0,0,0,0,0,2
33,2,1,2,0,0,0,2,1,0,1,4,255,1,26,1566.026,_이누_,R,0,134,-1.821,-1.732,-36.353,4,0,0,0,0,0,0,1,3,5,R,Pugeuk,160,90.918,0.596,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.048,-39.142,ʚEveɞ,-0.098,-16.816,하루（Haru）,-16.603,-44.344,별이__,-17.184,-59.539,coder_,17.614,-45.269,HANA_ARASHI,9.045,-60.659,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
34,2,1,2,0,0,1,2,1,0,1,4,255,1,27,1626.533,_이누_,R,14,108,-1.179,0.518,-36.471,2,0,355.292,345.034,2.314,0,0,1,3,5,R,Pugeuk,160,90.918,0.596,3,72,1627.7,164,124,24,142,109,24.142,10.632,0.8,-0.042,-0.033,0.437,0,0,0,-0.41,-36.878,ʚEveɞ,-0.024,-16.961,하루（Haru）,-17.193,-43.501,별이__,-16.606,-60.262,coder_,16.942,-45.894,HANA_ARASHI,12.576,-62.258,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,1623.839,-27.833,-115.205,1627.443,3,별이__,-7.532,-74.641,1,0,0,0,0,0,0,2
35,2,1,3,0,0,0,2,0,1,1,255,5,4,28,1713.073,_이누_,R,0,129,1.261,1.547,-36.484,2,0,0,0,0,0,0,1,4,3,R,_앰프_,170.6,90,0.396,3,71,1714.13,144,118,44,138,82,36.087,-15.707,-0.2,-0.009,-0.078,0.444,0,0,0,-0.159,-36.815,ʚEveɞ,-0.071,-17.017,하루（Haru）,-20.215,-46.494,별이__,-15.318,-61.753,coder_,18.232,-45.319,HANA_ARASHI,12.252,-64.768,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,1706.624,5,HANA_ARASHI,16.907,-77.136,0,0,0,0,0,0,0,1
36,2,0,3,0,0,0,0,0,0,0,255,255,255,6,1762.67,IllilliIIIIllil,R,26,138,-0.589,0.561,-36.695,0,0,98.427,-200,4.863,0,0,1,3,2,L,하루（Haru）,190,107,0.5,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092,-37.499,vovopo 보보포,-0.024,-17.13,Pring__,-22.722,-48.098,_앰프_,-13.141,-62.516,magimari,22.308,-48.731,Pugeuk,10.867,-63.403,AI,35.7,-81.8,Gonyong,0.401,-111.772,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
