id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
115,6,1,3,3,0,1,0,1,0,0,1,255,255,59,4357.244,D_arling,R,9,99,1.626,0.932,4,206.307,-358.12,0,0,1,3,2,L,NABIMan,190,66,0,0,0,0,0,0,0,0,0,0,0,0.449,-37.417,0.401,-17.22,-19.857,-43.566,-5.415,-64.281,24.104,-50.103,14.85,-64.19,41.082,-92.083,0.08,-119.392,-40.02,-80.224,0,0,0,0,0,,0,0,0,4,0,0,0,0,0,0
116,6,1,3,3,0,2,1,0,0,0,255,255,255,60,4406.063,D_arling,R,10,89,-0.724,-2.422,4,0,400,-0.133,-20.57,1,3,2,L,NABIMan,190,38,0,0,0,0,0,0,0,0,0,0,0,0.107,-37.721,-0.059,-17.5,-21.616,-45.49,-12.149,-63.822,23.229,-50.244,14.728,-64.262,39.458,-91.864,-0.714,-120.363,-39.269,-79.71,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
117,6,1,3,3,0,0,2,0,0,0,255,255,255,61,4432.647,D_arling,R,0,132,-0.685,-0.414,0,73.959,103.843,0,0,1,4,7,R,jdw4469,173.2,66,0,0,0,0,0,0,0,0,0,0,0,-0.205,-37.257,-0.034,-17.302,-20.188,-47.761,-8.68,-65.514,21.417,-52.019,10.721,-66.144,38.912,-92.155,-6.459,-120.001,-35.27,-76.604,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
118,6,1,3,3,0,1,2,0,0,0,255,255,255,62,4450.352,D_arling,R,10,86,-0.582,-2.02,4,0,400,-0.121,-19.471,1,4,7,R,jdw4469,173.2,66,0,0,0,0,0,0,0,0,0,0,0,-0.101,-37.564,-0.47,-17.373,-21.123,-46.609,-10.12,-65.093,21.805,-49.578,10.731,-66.17,39.164,-92.071,-5.67,-119.774,-38.41,-79.699,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
119,6,1,3,3,0,2,2,0,0,0,255,255,255,63,4473.403,D_arling,R,0,0,0,0,0,0,0,0,0,0,4,7,R,jdw4469,173.2,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
120,6,1,3,3,1,2,2,0,0,0,255,255,255,64,4514.214,D_arling,R,6,90,-0.625,0.218,2,409.091,0,0,0,1,4,7,R,jdw4469,173.2,66,4515.546,173,238,16,150,126,29.485,28.861,0.692,-0.027,-0.027,0.287,-37.147,-0.21,-17.478,-21.082,-48.811,-11.22,-63.687,20.87,-51.99,10.704,-66.076,38.804,-92.288,0.076,-119.171,-39.399,-81.94,4520.974,-52.544,-123.538,0,0,,0,0,0,0,0,0,0,0,0,4
121,6,1,4,3,0,0,2,0,0,0,255,255,255,65,4604.479,D_arling,R,6,80,-0.446,0.336,0,363.636,0,0,0,0,5,6,R,즉석카레,174.9,37,0,0,0,0,0,0,0,0,0,0,0,0.029,-37.711,-0.232,-17.44,-20.361,-44.918,-14.004,-61.665,22.48,-52.826,9.923,-66.501,42.739,-95.678,-0.335,-119.186,-43.034,-83.776,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
122,6,1,4,3,0,1,2,0,0,0,255,255,255,66,4625.855,D_arling,R,0,130,-2.891,0.907,4,16.385,147.79,0,0,1,5,6,R,즉석카레,174.9,37,0,0,0,0,0,0,0,0,0,0,0,-0.275,-37.569,-0.243,-17.262,-20.667,-48.574,-14.121,-61.603,21.585,-53.559,9.882,-66.503,42.219,-96.546,-0.374,-117.692,-43.377,-84.3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
123,6,1,4,3,0,2,2,0,0,0,255,255,255,67,4642.993,D_arling,R,10,81,-0.14,-2.733,2,0,400,0,0,1,5,6,R,즉석카레,174.9,37,4644.182,96,193,50,137,94,-19.908,28.485,0.952,-0.18,-0.232,-0.163,-37.392,-0.017,-17.547,-20.901,-48.109,-14.042,-62.198,21.429,-53.324,9.862,-66.412,42.637,-96.344,-0.669,-117.621,-43.169,-84.669,4644.096,-0.188,-21.415,4646.529,3,DoYaGee,-14.909,-55.529,0,2,0,0,0,0,0,2
124,6,0,4,3,0,0,0,0,0,0,255,255,255,55,4701.608,하루（Haru）,R,0,137,0.326,0.388,0,39.276,-107.925,0,0,0,0,5,R,아침땅_,174.7,38,0,0,0,0,0,0,0,0,0,0,0,-0.15,-36.927,0.157,-16.988,-21.313,-45.898,-16.335,-62,19.112,-46.919,14.397,-63.824,44.813,-97.721,-5.851,-108.129,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
