id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
104,5,0,0,2,0,0,0,1,0,0,15,255,255,17,4222.584,siesta_aves,R,0,110,-1.799,-0.849,1,0,0,0,0,0,1,3,L,あいくんだよー,160,47,0,0,0,0,0,0,0,0,0,0,0,0.03,-38.501,0.617,-19.033,-16.968,-41.345,-11.569,-59.59,19.62,-46.137,6.105,-61.934,44.909,-87.467,2.427,-120.36,-38.677,-87.737,0,0,0,0,0,,0,0,0,0,0
105,5,0,0,2,1,0,0,1,0,0,15,255,255,18,4240.39,siesta_aves,R,0,140,2.85,-0.814,4,127.009,-26.128,0,0,1,1,3,L,あいくんだよー,160,47,0,0,0,0,0,0,0,0,0,0,0,-0.057,-38.485,0.035,-19.187,-17.126,-41.968,-12.279,-58.937,19.693,-46.141,5.662,-62.676,44.916,-87.45,0.888,-119.198,-38.602,-87.79,0,0,0,0,0,,0,0,0,1,0
106,5,0,0,2,1,1,1,0,0,0,255,255,255,19,4264.226,siesta_aves,R,0,140,5.754,0.827,1,170.289,-54.575,1.976,-6.607,0,1,3,L,あいくんだよー,160,47,0,0,0,0,0,0,0,0,0,0,0,0.172,-38.463,1.242,-16.062,-17.189,-43.012,-10.84,-59.096,20.832,-47.122,11.285,-60.928,44.122,-86.061,-2.413,-116.854,-38.714,-87.739,0,0,0,0,0,,0,0,0,0,0
107,5,0,0,2,2,1,1,0,0,0,255,255,255,20,4285.278,siesta_aves,R,3,123,-0.993,0.617,2,-364.976,0,0,0,1,1,3,L,あいくんだよー,160,47,4286.393,56,182,30,50,45,-46.209,-53.517,0.009,0.199,-0.253,0.204,-36.989,0,-16.847,-17.603,-43.293,-11.365,-58.897,20.735,-47.189,11.019,-61.175,43.592,-85.52,-2.331,-116.498,-38.813,-87.672,4270.248,1.043,-21.69,4274.49,4,P0TA0,21.883,-38.329,0,0,2
108,5,0,0,2,2,2,1,0,0,0,255,255,255,21,4308.018,siesta_aves,R,0,137,6.782,-1.239,1,150.227,-3.145,1.596,-14.647,0,1,3,L,あいくんだよー,160,47,0,0,0,0,0,0,0,0,0,0,0,0.168,-38.208,0.579,-17.027,-17.334,-42.847,-11.954,-59.715,20.045,-45.963,10.762,-63.039,43.447,-83.32,-0.925,-117.344,-39.713,-91.125,0,0,0,0,0,,0,0,0,0,0
109,5,0,0,2,3,2,1,0,0,0,255,255,255,22,4327.47,siesta_aves,R,3,123,0.292,0.427,2,-402.144,0,0,0,1,1,3,L,あいくんだよー,160,47,4328.551,104,89,0,112,66,30.737,-22.77,-0.062,0.203,-0.13,0.225,-36.899,0.019,-16.847,-17.342,-42.754,-11.914,-59.711,20.604,-46.317,12.314,-63.428,43.442,-83.261,-0.999,-117.315,-39.752,-91.132,0,0,0,4316.123,5,べるちゃそ,17.721,-60.539,0,0,1
110,5,0,0,2,0,0,2,0,0,0,255,255,255,23,4358.7,siesta_aves,R,16,99,-0.096,0.256,0,0,-203.455,0,0,0,2,8,R,Dοpi,179.7,47,0,0,0,0,0,0,0,0,0,0,0,0.052,-38.306,0,-16.606,-17.624,-43.135,-11.667,-61.232,19.974,-47.154,11.177,-64.083,41.951,-82.842,-0.822,-120.987,-44.148,-89.826,0,0,0,0,0,,0,0,0,0,0
111,5,0,0,2,0,1,2,0,0,0,255,255,255,24,4374.612,siesta_aves,R,5,137,1.624,0.397,4,-85.767,0,-0.2,-20.946,1,2,8,R,Dοpi,179.7,47,0,0,0,0,0,0,0,0,0,0,0,0.192,-37.943,-0.072,-17.068,-17.822,-43.149,-11.628,-61.151,19.86,-47.24,10.655,-64.607,41.868,-82.662,-0.853,-120.965,-44.186,-89.755,0,0,0,0,0,,0,0,0,0,0
112,5,0,0,2,0,2,2,0,0,0,255,255,255,25,4394.573,siesta_aves,R,3,132,-6.423,1.605,1,-278.44,0,-3.021,-6.771,0,2,8,R,Dοpi,179.7,47,0,0,0,0,0,0,0,0,0,0,0,0.078,-37.994,-1.597,-14.202,-17.942,-43.015,-11.703,-61.432,20.683,-47.268,10.761,-64.802,41.883,-82.691,-0.954,-121.052,-44.134,-89.943,0,0,0,0,0,,0,0,0,0,0
113,5,0,0,2,1,2,2,0,0,0,255,255,255,26,4416.236,siesta_aves,R,2,101,-3.965,1.394,4,-177.026,-364.268,0,0,1,2,8,R,Dοpi,179.7,47,0,0,0,0,0,0,0,0,0,0,0,0.034,-38.059,-0.965,-17.827,-17.953,-42.88,-11.658,-61.293,20.621,-47.301,10.772,-64.829,41.88,-82.678,-0.684,-121.086,-41.647,-86.835,0,0,0,0,0,,0,0,0,0,0
