id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
190,7,0,9,9,2,2,2,0,0,1,255,255,16,93,4910.868,"양_뭉이",R,26,51,110,-1.703,1.393,-0.129,2.1,-37.337,1,0,122.977,-152.168,0,0,0,0,6,5,R,"Multeinn",160,95.058,0.501,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.766,-37.665,0,"Pugeuk",0.168,-20.563,0,"아침땅_",-21.712,-47.066,0,"HANA_ARASHI",-14.17,-60.798,0,"소솨소솨",19.83,-40.118,0,"하루（Haru）",10.329,-64.905,0,"アリアル",43.528,-83.097,0,"ke ro",1.022,-103.44,0,"인생최패망자",-48.816,-90.458,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
191,7,0,9,10,3,2,2,0,0,0,255,255,255,94,4936.198,"양_뭉이",R,3,56,104,0.243,-0.648,0.209,1.897,-37.11,0,0,-417.502,0,0,0,0,1,6,5,R,"Multeinn",160,95.058,0.501,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.274,-36.995,0,"Pugeuk",-0.245,-17.072,0,"아침땅_",-21.669,-46.675,0,"HANA_ARASHI",-14.843,-59.203,0,"소솨소솨",18.806,-46.533,0,"하루（Haru）",10.856,-63.82,0,"アリアル",45.831,-81.745,0,"ke ro",0.721,-100.146,0,"인생최패망자",-46.52,-93.207,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
192,8,1,9,10,0,0,0,0,0,0,255,255,255,95,5070.823,"신과함께1",R,26,82,135,1.131,0.653,0.469,1.805,-36.456,0,0,45.386,-200,0,0.566,-17.958,0,8,0,R,"Yaksok~",190,87.935,0.241,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,-37.236,0,"encounter v",-0.046,-17.592,0,"Pring__",-21.028,-46.998,0,"甲斐野柊太",-12.517,-64.913,0,"Ayu_Yua",24.585,-50.121,0,"Multeinn",12.706,-63.859,0,"Pizzallaris",41.44,-90.676,0,"それいゆ るな",2.167,-109.169,0,"눈꽃",-36.538,-87.301,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
193,8,1,9,10,0,1,0,0,0,0,255,255,255,96,5084.922,"신과함께1",R,26,96,140,-2.173,-1.205,0.172,1.453,-36.175,1,0,13.364,-188.553,0,-0.555,-18.117,0,8,0,R,"Yaksok~",190,87.935,0.241,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,-37.37,0,"encounter v",-0.237,-17.932,0,"Pring__",-21.066,-47.006,0,"甲斐野柊太",-12.642,-64.993,0,"Ayu_Yua",24.545,-50.13,0,"Multeinn",12.753,-63.901,0,"Pizzallaris",41.451,-90.651,0,"それいゆ るな",2.166,-109.157,0,"눈꽃",-38.494,-93.988,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
194,8,1,9,10,1,1,0,0,0,0,255,255,255,97,5098.387,"신과함께1",R,26,81,133,0.779,1.099,0.453,1.891,-36.342,4,0,-8.263,-200,0,0.334,-18.558,1,8,0,R,"Yaksok~",190,87.935,0.241,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,-37.207,0,"encounter v",-0.087,-17.677,0,"Pring__",-20.923,-43.192,0,"甲斐野柊太",-12.518,-65.186,0,"Ayu_Yua",24.6,-50.074,0,"Multeinn",11.935,-62.609,0,"Pizzallaris",41.333,-90.74,0,"それいゆ るな",2.172,-109.168,0,"눈꽃",-39.726,-93.135,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
195,8,1,9,10,1,2,0,0,0,0,255,255,255,98,5114.407,"신과함께1",R,10,94,128,-0.153,-0.816,0.364,1.7,-36.252,0,0,0,400,0,0,0,1,8,0,R,"Yaksok~",190,87.935,0.241,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,-37.287,0,"encounter v",-0.107,-17.745,0,"Pring__",-19.902,-40.425,0,"甲斐野柊太",-12.702,-65.073,0,"Ayu_Yua",24.45,-49.646,0,"Multeinn",12.717,-63.802,0,"Pizzallaris",41.443,-90.672,0,"それいゆ るな",2.17,-109.16,0,"눈꽃",-41.761,-92.049,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
196,8,1,9,10,0,0,1,0,0,0,255,255,255,99,5134.79,"신과함께1",R,26,89,140,-0.144,0.207,0.384,1.725,-36.208,2,0,-72.639,-192.08,0,0,0,1,0,8,R,"인생최패망자",190,80,0.396,3,74,5135.817,255,23,166,107,104,150,88,90.418,-89.161,-0.93,-0.019,-0.034,0,0.313,-0.218,-36.408,0,"encounter v",-0.079,-17.728,0,"Pring__",-21.743,-47.745,0,"甲斐野柊太",-12.779,-64.969,0,"Ayu_Yua",23.51,-49.038,0,"Multeinn",11.353,-64.088,0,"Pizzallaris",41.405,-90.672,0,"それいゆ るな",2.178,-109.178,0,"눈꽃",-43.707,-93.644,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
197,8,1,9,10,0,1,1,0,0,0,255,255,255,100,5163.475,"신과함께1",R,10,90,128,-0.464,-0.425,0.335,1.769,-36.123,2,0,0,400,0,0,0,1,0,8,R,"인생최패망자",190,80,0.396,3,67,5164.522,241,18,165,106,91,150,127,110.444,-63.526,0.27,-0.027,-0.071,0,0.318,0.138,-36.885,0,"encounter v",-0.033,-18.101,0,"Pring__",-21.65,-47.63,0,"甲斐野柊太",-13.095,-64.489,0,"Ayu_Yua",24.157,-49.941,0,"Multeinn",11.724,-63.532,0,"Pizzallaris",41.535,-90.663,0,"それいゆ るな",-0.347,-104.123,0,"눈꽃",-43.48,-92.483,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
198,8,1,9,10,0,2,1,0,0,0,255,255,255,101,5183.922,"신과함께1",R,26,93,140,-0.36,0.586,0.351,1.738,-36.216,2,0,-46.373,-200,0,0,0,1,0,8,R,"인생최패망자",190,80,0.396,3,74,5184.91,195,10,137,86,67,150,88,56.52,-9.697,-0.92,-0.048,-0.077,0,0.303,0.258,-36.873,0,"encounter v",-0.059,-18.297,0,"Pring__",-22.765,-49.178,0,"甲斐野柊太",-13.194,-64.704,91,"Ayu_Yua",24.511,-50.009,0,"Multeinn",9.836,-63.397,0,"Pizzallaris",41.184,-91.371,0,"それいゆ るな",-0.337,-104.118,0,"눈꽃",-44.247,-92.156,0,0,0,0,5186.091,3,"甲斐野柊太",7.955,-66.425,0,0,0,0,0,0,0,1
199,8,1,9,10,0,0,2,0,0,0,255,255,255,102,5214.047,"신과함께1",R,28,94,140,-1.343,0.079,0.263,1.723,-36.351,2,0,-38.005,-99.271,0,0,0,1,1,4,R,"소솨소솨",190,80,0.2,2,43,5214.879,215,18,126,17,15,150,67,-20.726,40.407,1,-0.009,-0.094,0,0.457,-0.064,-36.982,0,"encounter v",-0.052,-17.74,0,"Pring__",-22.312,-47.961,0,"甲斐野柊太",-11.95,-65.298,0,"Ayu_Yua",24.548,-49.539,0,"Multeinn",10.248,-63.707,0,"Pizzallaris",41.148,-89.169,0,"それいゆ るな",2.71,-107.13,0,"눈꽃",-41.543,-100.253,0,5210.28,-2.28,-21.461,5212.436,2,"Pring__",-17.167,-42.881,0,0,0,0,0,0,0,2
