id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
49,3,1,2,1,0,0,1,0,0,0,255,255,255,25,2106.497,CAT tourniquet,L,0,110,0.977,-0.017,0,-93.623,-57.464,0,0,0,1,7,R,crani,174.6,55,0,0,0,0,0,0,0,0,0,0,0,0.262,-37.213,0.044,-17.389,-21.616,-46.332,-13.785,-60.941,21.65,-50.389,11.507,-59.007,36.068,-91,-13.74,-106.03,-40.654,-80.681,0,0,0,0,0,,0,0,0,0,0
50,3,1,2,1,0,1,1,0,0,0,255,255,255,26,2120.949,CAT tourniquet,L,0,112,1.059,0.016,2,-62.965,0.527,0,0,1,1,7,R,crani,174.6,55,2122.073,100,81,67,75,64,-0.603,25.672,-1,0.031,-0.032,0.158,-37.006,-0.067,-16.838,-22.022,-46.911,-13.522,-60.985,22.015,-50.321,11.514,-58.996,35.962,-91.062,-13.787,-106.028,-40.853,-80.81,2122.301,-4.63,-29.377,2124.559,3,Penguin_iDOL,-14.71,-51.54,0,0,2
51,3,1,2,1,0,0,2,0,0,0,255,255,255,27,2151.844,CAT tourniquet,L,3,113,0.065,0.148,0,303.557,0,0,0,0,2,2,L,ʚEveɞ,175.4,55,0,0,0,0,0,0,0,0,0,0,0,0.189,-37.43,-0.04,-17.047,-21.608,-46.905,-8.76,-64.037,22.828,-49.468,11.293,-59.301,37.446,-90.438,8.196,-105.699,-39.084,-79.53,0,0,0,0,0,,0,0,0,0,0
52,3,1,2,1,0,1,2,0,0,0,255,255,255,28,2169.943,CAT tourniquet,L,3,118,2.249,-0.025,2,435.034,0,0,0,1,2,2,L,ʚEveɞ,175.4,55,2170.887,104,211,32,143,129,35.296,-32.367,0.56,0.072,-0.165,0.25,-37.163,0.101,-17.007,-21.544,-46.792,-8.695,-64.079,22.086,-51.28,11.306,-59.319,38.319,-89.665,8.015,-105.733,-44.37,-83.284,2175.523,37.299,-116.782,2177.732,7,Kr_Luna,25.636,-114.019,1,0,2
53,3,1,2,1,0,0,2,0,1,0,255,2,255,29,2207.39,CAT tourniquet,L,5,118,-3.878,0.129,1,114.154,0,0,0,0,3,1,R,아침땅_,173.2,55,0,0,0,0,0,0,0,0,0,0,0,0.243,-37.44,-0.277,-17.101,-20.634,-46.261,-12.922,-62.202,19.369,-40.053,6.53,-58.743,37.521,-91.996,-1.161,-101.345,-41.832,-87.363,0,0,0,0,0,,0,0,0,0,0
54,3,1,2,1,1,0,2,0,0,1,255,255,2,30,2227.201,CAT tourniquet,L,3,117,1.266,0.134,0,414.917,0,0.446,-19.072,0,3,1,R,아침땅_,173.2,55,0,0,0,0,0,0,0,0,0,0,0,0.128,-37.36,0.396,-19.706,-20.667,-46.611,-12.923,-62.115,19.003,-40.058,8.987,-58.858,36.912,-90.078,-0.765,-101.366,-44.992,-89.086,0,0,0,0,0,,0,0,0,8,0
55,3,1,3,1,1,1,2,0,0,0,255,255,255,31,2252.753,CAT tourniquet,L,0,133,1.297,-2.758,2,-166.686,-86.496,0,0,1,3,1,R,아침땅_,173.2,55,2253.721,77,79,4,71,64,-9.089,1.465,-1,-0.05,-0.007,0.206,-37.16,0.089,-17.132,-21.08,-47.26,-13.191,-61.985,17.525,-44.237,10.511,-60.809,38.026,-93.462,1.802,-101.022,-43.158,-92.305,2253.529,0.232,-23.979,2254.72,0,CAT tourniquet,-0.741,-35.796,0,0,2
56,3,0,3,1,0,0,0,0,0,0,255,255,255,23,2305.66,D_arling,R,0,92,-1.19,-0.223,0,4.998,-200,0,0,1,8,5,R,Yaksok~,173.4,55,0,0,0,0,0,0,0,0,0,0,0,-0.252,-37.131,-0.087,-17.138,-22.972,-47.857,-12.733,-64.197,21.721,-50.672,12.012,-61.315,36.738,-86.32,0.015,-109.394,-37.829,-87.089,0,0,0,0,0,,0,0,0,0,0
57,3,0,3,1,0,1,0,0,0,0,255,255,255,24,2324.829,D_arling,R,0,91,-0.928,-1.325,1,-30.536,-200,0,0,0,8,5,R,Yaksok~,173.4,55,0,0,0,0,0,0,0,0,0,0,0,-0.156,-37.494,-0.058,-17.171,-23.101,-48.595,-12.604,-64.432,22.592,-51.352,13.225,-62.244,36.751,-86.308,-0.258,-102.487,-38.722,-88.201,0,0,0,0,0,,0,0,0,0,0
58,3,0,3,1,1,1,0,0,0,0,255,255,255,25,2341.48,D_arling,R,14,90,1.31,-0.874,2,293.823,347.902,0,0,1,8,5,R,Yaksok~,173.4,55,2342.551,96,223,30,141,80,-22.474,39.454,0.968,-0.189,-0.175,-0.102,-37.08,0.095,-17.239,-23.285,-48.794,-12.6,-64.519,21.979,-52.286,13.226,-62.216,36.856,-86.227,-0.219,-102.089,-39.195,-88.804,2342.242,-1.133,-22.745,2344.417,2,ʚEveɞ,-16.993,-46.737,0,0,2
