id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
180,6,0,4,11,3,2,2,0,0,0,255,255,255,104,4199.201,Pring__,R,32,124,2.139,0.299,0.091,1.458,-36.509,4,0,154.36,-79.359,-0.541,0,0,1,5,3,L,ʚEveɞ,174.9,95,0.401,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051,-37.812,눈꽃,-0.039,-16.806,coder_,-19.233,-47.42,_Chun,-10.689,-60.787,아침땅_,21.816,-45.735,소솨소솨,17.702,-62.655,それいゆ るな,42.822,-86.661,Oort__Cloud,4.71,-118.155,별이__,-43.737,-95.116,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
181,7,1,4,11,0,0,0,0,0,0,255,255,255,75,4314.052,IllilliIIIIllil,R,14,103,1.017,-0.005,0.013,1.788,-36.813,0,0,153.539,400,3.455,0,0,0,7,2,R,coder_,160,95,0.448,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023,-37.739,Sabo_10,0.235,-16.992,vovopo 보보포,-22.947,-46.213,ʚEveɞ,-12.866,-65.077,인생최패망자,17.224,-48.107,encounter v,9.405,-60.248,ByeolBam,36.97,-87.142,ke ro,-0.249,-109.71,HANA_ARASHI,-42.536,-92.108,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
182,7,1,4,11,0,1,0,0,0,0,255,255,255,76,4327.147,IllilliIIIIllil,R,13,94,-0.725,-0.124,0.081,1.768,-36.833,0,0,-333.644,312.348,-28.175,0,0,1,7,2,R,coder_,160,95,0.448,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,-37.888,Sabo_10,-0.654,-17.694,vovopo 보보포,-21.831,-44.572,ʚEveɞ,-12.857,-65.016,인생최패망자,17.738,-48.818,encounter v,9.413,-60.53,ByeolBam,37.057,-87.159,ke ro,-0.226,-109.7,HANA_ARASHI,-42.349,-91.344,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
183,7,1,4,11,0,2,0,0,0,0,255,255,255,77,4342.392,IllilliIIIIllil,R,26,133,2.081,1.258,-0.038,1.52,-36.674,2,0,89.587,-200,-1.112,0,0,1,7,2,R,coder_,160,95,0.448,3,64,4343.406,118,82,48,24,60,132,111,-23.078,21.21,0.3,-0.161,-0.101,0.095,0,0,0,0,-0.306,-36.737,Sabo_10,0.077,-17.131,vovopo 보보포,-21.687,-45.557,ʚEveɞ,-12.902,-65.103,인생최패망자,16.473,-48.611,encounter v,8.433,-63.002,ByeolBam,37.071,-87.158,ke ro,-0.211,-109.728,HANA_ARASHI,-41.203,-90.349,4343.508,-0.515,-21.404,4345.495,3,ʚEveɞ,-15.879,-60.967,0,0,0,0,0,0,0,2
184,7,1,4,11,0,0,1,0,0,0,255,255,255,78,4375.927,IllilliIIIIllil,R,0,117,0.409,1.216,0.025,1.811,-36.918,1,0,0,1.324,-8.332,0,0,0,8,3,L,_Chun,190,94.681,0.452,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.225,-38.072,Sabo_10,0.315,-16.756,vovopo 보보포,-23.137,-50.834,ʚEveɞ,-9.847,-64.761,인생최패망자,19.484,-45.018,encounter v,11.94,-61.78,ByeolBam,36.873,-86.741,ke ro,0.782,-113.24,HANA_ARASHI,-39.94,-93.696,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
185,7,1,4,11,1,0,1,0,0,0,255,255,255,79,4388.84,IllilliIIIIllil,R,6,106,2.301,0.427,-0.006,1.713,-36.755,4,0,479.705,0,-10.932,1.307,-16.622,1,8,3,L,_Chun,190,94.681,0.452,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166,-37.892,Sabo_10,1.883,-17.225,vovopo 보보포,-22.946,-49.424,ʚEveɞ,-9.812,-65.282,인생최패망자,19.246,-42.084,encounter v,11.72,-62.595,ByeolBam,37.499,-86.95,ke ro,0.45,-113.157,HANA_ARASHI,-37.356,-92.876,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
186,7,1,4,11,1,1,1,0,0,0,255,255,255,80,4405.234,IllilliIIIIllil,R,26,139,2.214,0.707,0.11,1.693,-36.862,4,0,86.761,-200,0.914,0,0,1,8,3,L,_Chun,190,94.681,0.452,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079,-37.705,Sabo_10,1.106,-17.212,vovopo 보보포,-22.166,-48.741,ʚEveɞ,-9.846,-65.291,인생최패망자,20.978,-46.003,encounter v,11.426,-60.767,ByeolBam,37.647,-86.997,ke ro,0.811,-113.187,HANA_ARASHI,-39.453,-93.615,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
187,7,1,4,11,1,2,1,0,0,0,255,255,255,81,4421.788,IllilliIIIIllil,R,41,94,-0.089,0.008,-0.03,1.627,-36.724,2,0,39.889,-80.841,21.174,0,0,1,8,3,L,_Chun,190,94.681,0.452,3,88,4422.939,255,54,58,58,27,130,100,-27.078,12.011,-0.3,0.087,-0.046,0.037,0.083,0,0,0,-0.109,-37.147,Sabo_10,0.184,-17.049,vovopo 보보포,-22.674,-50.351,ʚEveɞ,-9.804,-65.245,인생최패망자,20.347,-46.261,encounter v,11.768,-62.016,ByeolBam,37.652,-86.961,ke ro,0.757,-113.166,HANA_ARASHI,-41.516,-94.601,4423.001,-0.295,-22.61,4425.036,3,ʚEveɞ,-8.134,-59.356,0,0,0,0,0,0,0,2
188,7,1,4,11,0,0,2,0,0,0,255,255,255,82,4449.798,IllilliIIIIllil,R,42,90,-1.384,0.175,-0.015,1.677,-36.717,0,0,-204.546,-29.46,14.377,0,0,1,0,0,L,Pring__,180.1,95,0.401,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,-37.656,Sabo_10,-0.319,-17.431,vovopo 보보포,-21.658,-47.988,ʚEveɞ,-11.538,-65.379,인생최패망자,20.266,-45.691,encounter v,14.762,-60.8,ByeolBam,40.36,-90.175,ke ro,0.887,-118.096,HANA_ARASHI,-41.309,-91.282,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
189,7,1,4,11,0,1,2,0,0,0,255,255,255,83,4473.995,IllilliIIIIllil,R,26,129,6.077,1.718,0.115,1.727,-36.749,2,0,152.448,-200,7.741,0,0,1,0,0,L,Pring__,180.1,95,0.401,3,64,4474.795,94,64,78,32,50,126,103,10.966,-12.838,0.85,-0.041,-0.03,0.104,0,0,0,0,0.026,-36.924,Sabo_10,0.123,-17.032,vovopo 보보포,-24.122,-49.841,ʚEveɞ,-11.568,-65.394,인생최패망자,20.508,-45.622,encounter v,12.324,-61.053,ByeolBam,38.496,-88.438,ke ro,0.793,-118.094,HANA_ARASHI,-42.35,-91.879,4477.696,15.763,-84.805,4485.161,7,ke ro,19.159,-128.394,1,1,0,0,0,0,0,2
