id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
51,2,0,0,1,0,0,2,0,1,0,255,255,255,27,1766.836,"3Ducks",R,10,66,98,0.642,-0.757,0.109,1.909,-37.054,2,0,0,400,0.651,0,0,1,2,1,L,"_Chun",190,80,0.452,3,83,1768.001,166,22,71,73,65,108,140,92,30.293,-47.47,0.93,-0.022,-0.057,0.091,0,0.07,-37.773,0,"Kr_Luna",0.037,-17.223,0,"ke ro",-20.802,-49.583,0,"ByeolBam",-3.511,-60.825,0,"Pring__",21.864,-45.84,0,"CAT tourniquet",16.326,-62.355,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,1771.959,58.251,-64.584,0,0,"",0,0,0,0,0,0,0,0,0,3
52,2,0,0,1,0,1,2,0,1,0,255,255,255,28,1783.197,"3Ducks",R,0,67,107,1.044,-0.02,0.179,1.84,-37.033,0,0,-21.893,16.777,5.83,0,0,0,2,1,L,"_Chun",190,80,0.452,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,-38.004,0,"Kr_Luna",0.075,-17.187,0,"ke ro",-20.755,-48.406,0,"ByeolBam",-8.638,-61.688,0,"Pring__",21.987,-44.708,0,"CAT tourniquet",15.974,-63.371,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
53,2,0,0,1,0,2,2,0,1,0,255,255,255,29,1800.113,"3Ducks",R,27,70,124,1.107,-0.238,0.108,1.901,-37.059,2,0,17.42,-134.791,0.45,0,0,1,2,1,L,"_Chun",190,80,0.452,3,83,1801.188,233,13,61,47,22,102,137,122,99.605,75.663,0.26,0.001,-0.074,0.28,0,0.077,-37.599,0,"Kr_Luna",0.049,-17.157,0,"ke ro",-21.091,-48.793,0,"ByeolBam",-6.3,-62.266,0,"Pring__",22.074,-48.111,0,"CAT tourniquet",15.139,-63.046,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
54,2,0,0,1,0,2,2,0,1,0,255,255,255,30,1818.526,"3Ducks",R,10,64,110,0.36,-1.016,0.145,1.942,-37.183,2,0,0,400,3.864,0,0,1,2,1,L,"_Chun",190,80,0.452,3,83,1819.631,235,11,61,54,28,156,138,130,-27.123,29.907,0.6,0.014,-0.087,0.229,0,-0.072,-37.756,0,"Kr_Luna",0.045,-17.179,0,"ke ro",-21.287,-48.059,0,"ByeolBam",-7.272,-64.499,0,"Pring__",22.573,-48.132,0,"CAT tourniquet",15.704,-62.249,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,1819.537,-0.59,-21.458,1825.459,5,"CAT tourniquet",-1.183,-59.784,1,0,0,0,0,0,0,2
55,2,0,0,1,0,0,2,1,0,1,10,255,14,31,1847.498,"3Ducks",R,27,77,129,-0.559,-0.632,-0.038,1.676,-36.91,0,0,16.619,-125.993,-0.412,0,0,1,3,4,R,"ゆっち一",190,87.903,0.451,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,-38.335,0,"Kr_Luna",0.023,-17.252,0,"ke ro",-19.677,-45.383,0,"ByeolBam",-10.497,-63.163,0,"Pring__",20.42,-41.828,0,"CAT tourniquet",7.4,-67.509,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
56,2,0,0,1,0,1,2,1,0,1,10,255,14,32,1861.773,"3Ducks",R,26,74,127,0.666,0.826,0.067,1.933,-37.136,0,0,41.436,-200,-1.597,0,0,1,3,4,R,"ゆっち一",190,87.903,0.451,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.175,-37.703,0,"Kr_Luna",0.098,-17.211,0,"ke ro",-21.062,-45.354,0,"ByeolBam",-10.109,-62.841,0,"Pring__",20.67,-43.393,0,"CAT tourniquet",6.23,-66.53,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
57,2,0,0,1,0,2,2,1,0,1,10,255,14,33,1877.301,"3Ducks",R,5,68,106,1.138,0.245,0.23,1.921,-37.092,2,0,-78.753,25.01,5.53,0,0,1,3,4,R,"ゆっち一",190,87.903,0.451,0,83,1878.565,99,11,49,37,35,104,98,87,109.504,-22.133,0.13,0.001,-0.175,0.149,0,0.007,-37.566,0,"Kr_Luna",0.139,-17.211,0,"ke ro",-21.97,-45.515,0,"ByeolBam",-10.93,-63.172,0,"Pring__",20.862,-45.854,0,"CAT tourniquet",6.365,-66.352,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
58,2,0,0,1,0,2,2,1,0,1,10,255,14,34,1893.384,"3Ducks",R,5,70,107,2.107,0.08,0.187,1.778,-37.168,2,0,-91.217,22.138,3.176,0,0,1,3,4,R,"ゆっち一",190,87.903,0.451,0,69,1894.654,143,9,47,37,32,75,109,73,51.72,23.928,-0.49,-0.001,-0.104,0.101,0,-0.06,-37.7,0,"Kr_Luna",0.098,-17.122,0,"ke ro",-20.812,-46.844,0,"ByeolBam",-11.145,-62.858,0,"Pring__",21.023,-44.465,0,"CAT tourniquet",8.328,-66.078,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,1899.515,-18.903,-62.763,1899.615,3,"ByeolBam",-18.232,-61.297,0,0,0,0,0,0,0,1
59,3,1,0,1,0,0,0,0,0,0,255,255,255,23,1960.619,"Riyaj",R,0,60,102,-0.453,1.188,-0.029,2.02,-36.628,2,0,0,0,6.759,0,0,1,2,3,R,"ByeolBam",174.5,85,0.5,3,79,1961.75,176,14,65,62,37,100,139,127,25.65,2.92,0.48,-0.035,-0.055,0.155,0,0.126,-37.025,0,"_Chun",-0.021,-17.013,0,"IbikiKai_JP",-22.251,-45.725,0,"아침땅_",-14.12,-64.407,0,"ゆっち一",24.873,-50.498,0,"sano jpn",10.195,-64.045,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,1967.259,-26.862,-135.127,0,0,"",0,0,0,0,0,0,0,0,0,4
60,3,1,1,1,0,0,0,0,0,0,255,255,255,24,2014.136,"Riyaj",R,27,81,133,1.296,1.707,0.138,2.03,-36.747,1,0,54.542,-110.28,-1.606,0,0,0,3,2,R,"ke ro",190,83.662,0.429,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16,-37.252,0,"_Chun",0.142,-17.14,0,"IbikiKai_JP",-21.276,-43.562,0,"아침땅_",-14.381,-64.222,0,"ゆっち一",22.486,-49.356,0,"sano jpn",9.947,-64.801,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
