id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
93,5,0,1,1,0,0,0,0,0,0,255,255,255,34,2747.816,눈꽃,R,14,115,2.1,-0.674,4,343.987,362.868,-0.122,-20.434,1,7,0,R,Slaris,190,90,0.446,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,-37.164,-0.226,-17.318,-20.712,-47.732,-14.726,-61.998,17.284,-47.848,13.035,-65.26,43.536,-84.868,-0.562,-104.39,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
94,5,0,1,1,0,1,0,0,0,0,255,255,255,35,2768.602,눈꽃,R,14,113,0.815,0.166,0,351.315,355.778,0,0,1,7,0,R,Slaris,190,90,0.446,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,-37.208,-0.037,-17.086,-20.819,-48.652,-13.994,-61.985,17.518,-47.335,13.076,-64.986,45.381,-86.488,-0.138,-104.453,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
95,5,0,1,1,0,2,0,0,0,0,255,255,255,36,2786.399,눈꽃,R,10,121,-0.499,-0.053,2,38.47,400,0,0,1,7,0,R,Slaris,190,90,0.446,72,2787.356,136,105,32,138,87,9.098,-6.794,-0.29,-0.066,-0.053,0.26,0,0,0,-0.056,-37.039,0,-17.132,-20.475,-48.543,-13.997,-61.893,17.956,-47.586,13.448,-64.544,45.378,-86.497,-0.325,-104.419,-35.7,-81.8,2789.741,5.064,-67.555,2791.691,7,ke ro,7.713,-90.752,1,0,0,0,0,0,0,2
96,5,0,1,1,0,0,0,1,0,0,9,255,255,37,2814.279,눈꽃,R,12,123,-0.166,0.51,0,0,103.2,0,0,0,0,6,R,별이__,174.5,95,0.5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,-37.01,-0.963,-18.406,-17.26,-43.107,-13.323,-61.963,18.939,-47.297,8.773,-62.769,47.169,-87.118,0.731,-100.659,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
97,5,0,1,1,0,1,0,1,0,0,9,255,255,38,2828.753,눈꽃,R,14,113,0.485,0.541,0,254.883,256.379,0,0,1,0,6,R,별이__,174.5,95,0.5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.028,-1.028,-18.811,-19.021,-41.636,-13.333,-61.904,18.783,-46.326,5.388,-62.201,47.185,-87.229,0.823,-100.68,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
98,5,0,1,1,0,2,0,1,0,0,9,255,255,39,2843.209,눈꽃,R,6,116,2.919,-0.892,2,323.079,68.991,0,0,1,0,6,R,별이__,174.5,95,0.5,58,2844.309,111,96,27,133,127,-30,-38.276,0.4,0.052,-0.003,0.217,0,0,0,-0.165,-37.094,-0.005,-17.177,-19.34,-40.359,-13.351,-61.99,18.974,-48.683,8.141,-63.269,47.175,-87.257,1.044,-98.2,-35.7,-81.8,2844.391,1.279,-20.596,2847.908,6,schmoneymikey,46.317,-77.928,1,0,0,0,0,0,0,2
99,5,0,1,1,0,0,0,1,1,0,255,9,255,40,2875.354,눈꽃,R,10,109,1.44,1.621,1,-59.147,387.886,0,0,0,1,2,L,신과함께1,179.2,93,0.2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-37.225,-0.259,-17.597,-16.505,-44.071,-6.662,-62.673,20.761,-46.107,14.346,-63.256,48.443,-83.664,7.439,-107.573,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
100,5,0,1,1,1,0,0,1,1,0,255,9,255,41,2888.05,눈꽃,R,10,111,-0.585,-0.591,0,0,400,0,0,0,1,2,L,신과함께1,179.2,93,0.2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,-37.353,-0.132,-17.32,-20.615,-48.86,-2.264,-61.418,20.296,-46.495,14.78,-63.667,49.271,-86.04,7.484,-107.579,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
101,5,0,1,1,1,1,0,1,1,0,255,9,255,42,2900.519,눈꽃,R,13,111,-1.142,0.369,0,-376.554,328.948,0,0,0,1,2,L,신과함께1,179.2,93,0.2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193,-37.203,0.387,-18.89,-20.534,-48.789,-2.742,-60.48,20.377,-45.688,14.721,-63.625,49.11,-85.499,0.929,-109.569,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
102,5,0,1,1,1,2,0,1,1,0,255,9,255,43,2920.28,눈꽃,R,0,126,0.383,0.791,2,0,0,0,0,1,1,2,L,신과함께1,179.2,93,0.2,58,2921.115,114,28,1,58,58,17.508,-31.324,0.8,0.06,-0.03,0.087,0,0,0,-0.145,-37.06,0.019,-17.001,-20.419,-47.877,-3.696,-61.755,21.115,-48.357,14.625,-63.713,50.057,-85.758,1.122,-109.437,-35.7,-81.8,2923.275,14.765,-43.767,2924.025,6,schmoneymikey,14.827,-43.87,1,0,0,0,0,0,0,2
