id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
11,1,1,1,0,0,0,2,0,0,1,255,255,1,10,1110.284,-Alta-,L,8,118,-0.413,0.955,2,-62.437,0,0,0,1,4,5,R,Slaris,174.6,87,1111.253,137,162,65,142,88,90.667,-88.992,-0.856,-0.051,0.013,0.349,-36.693,-0.58,-16.954,-22.452,-47.18,-13.758,-62.287,20.461,-52.356,13.093,-64.578,42.193,-94.69,0.856,-105.729,-47.235,-76.832,1116.276,-53.732,-16.427,0,0,,0,0,0,0,0,0,0,0,0,3
12,1,1,1,0,0,1,2,0,0,1,255,255,1,11,1132.952,-Alta-,L,0,138,0.947,-0.474,2,-7.415,-100.451,0,0,1,4,5,R,Slaris,174.6,87,1133.792,160,163,10,140,126,29.504,-33.588,0.743,-0.087,-0.073,0.6,-36.91,0.152,-16.847,-21.281,-47.319,-12.924,-58.319,21.235,-54.222,12.439,-65.121,43.648,-94.144,0.877,-105.353,-45.524,-80.283,1138.732,47.92,-128.505,0,0,,0,0,0,0,0,0,0,0,0,4
13,1,1,3,0,0,0,2,0,0,0,255,255,255,12,1179.676,-Alta-,L,0,137,0.938,-0.346,0,0,4.763,0,0,0,5,3,R,_앰프_,170.6,87,0,0,0,0,0,0,0,0,0,0,0,0.406,-36.82,0.068,-16.932,-21.32,-46.225,-11.531,-61.987,19.517,-49.095,14.4,-65.183,39.563,-94.315,-2.499,-111.524,-44.603,-78.457,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
14,1,1,3,0,0,1,2,0,0,0,255,255,255,13,1200.854,-Alta-,L,6,110,-3.165,0.668,1,-470.736,0,0,0,0,5,3,R,_앰프_,170.6,87,0,0,0,0,0,0,0,0,0,0,0,-0.095,-37.171,-0.206,-16.925,-21.602,-45.504,-13.91,-63.028,18.51,-48.702,14.575,-65.201,38.13,-96.061,-0.844,-111.286,-45.081,-79.491,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
15,1,1,3,0,1,1,2,0,0,0,255,255,255,14,1217.174,-Alta-,L,0,138,0.306,1.744,4,-39.51,-118.65,0,0,1,5,3,R,_앰프_,170.6,87,0,0,0,0,0,0,0,0,0,0,0,0.12,-36.825,0.142,-16.846,-21.114,-44.467,-13.35,-61.112,18.532,-45.397,14.598,-65.183,38.168,-96.083,-0.23,-110.785,-44.82,-79.854,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
16,1,1,3,0,1,2,2,0,0,0,255,255,255,15,1235.691,-Alta-,L,10,128,1.026,-0.836,2,0,400,0,0,1,5,3,R,_앰프_,170.6,87,1236.771,104,135,33,133,84,-47.766,-46.755,-0.741,-0.134,-0.083,0.485,-36.837,0.009,-17.072,-20.965,-45.838,-13.255,-61.01,18.253,-51.136,14.687,-65.205,38.335,-95.383,-0.287,-110.721,-44.851,-79.913,1236.143,0.83,-20.897,1243.754,6,눈꽃,56.182,-74.45,0,0,0,0,0,0,0,2
17,1,1,3,0,1,2,2,0,0,0,255,255,255,16,1299.157,-Alta-,L,6,101,-3.468,0.56,1,-459.091,0,0,0,0,5,3,R,_앰프_,170.6,87,0,0,0,0,0,0,0,0,0,0,0,0.293,-36.962,-0.447,-16.916,-20.596,-42.203,-11.97,-59.352,20.734,-48.767,12.138,-65.887,38.414,-96.823,-0.308,-107.302,-45.584,-79.476,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
18,1,1,3,0,2,2,2,0,0,0,255,255,255,17,1315.333,-Alta-,L,3,118,0.796,1.087,1,419.691,0,-0.608,-20.74,0,5,3,R,_앰프_,170.6,87,0,0,0,0,0,0,0,0,0,0,0,-0.034,-36.729,-0.019,-17.672,-20.578,-42.584,-14.605,-60.917,19.308,-48.916,12.986,-64.88,39.122,-96.289,-0.191,-107.261,-41.938,-80.518,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
19,1,0,3,0,0,0,0,0,0,0,255,255,255,0,1521.948,-라후이-,R,6,128,1.061,1.267,2,394.471,6.803,0,0,1,0,7,L,IbikiKai_JP,171.4,87,1523.071,160,74,0,92,67,-0.122,-20.773,-0.169,-0.042,-0.035,0.121,-36.626,0.45,-17.301,-20.893,-45.712,-14.088,-62.065,19.947,-46.123,13.83,-62.776,37.276,-77.672,1.897,-104.127,-41.733,-86.816,1523.154,6.197,-33.2,1527.365,6,なおｐ--,20.913,-71.93,1,0,0,0,0,0,0,2
20,1,0,3,0,0,0,0,1,0,0,16,255,255,2,1656.812,-라후이-,R,0,140,-1.153,0.488,0,-107.784,-91.064,0,0,0,1,2,L,_Chun,190,87,0,0,0,0,0,0,0,0,0,0,0,-0.027,-36.867,-0.099,-17.506,-20.827,-41.118,-10.963,-60.382,19.783,-46.314,14.28,-64.316,38.107,-79.717,-0.005,-111.149,-44.818,-91.817,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
