id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result,scoreA,scoreB,hMoveX,hMoveY,tag
40,2,0,0,0,0,0,0,0,255,255,255,11,1355.144,_Chun,0,133,1.224,0.816,2,-39.528,-57.76,0,0,1,4,5,mungjungh,179,73,1356.095,101,126,56,130,84,99.746,-71.744,-0.01,0.498,-36.699,0.109,-16.859,-22.27,-49.334,-10.382,-65.185,16.775,-42.218,13.952,-64.546,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0.012,-0.011,0
41,2,0,0,1,0,0,0,0,255,255,255,12,1378.931,_Chun,0,130,0.351,-0.675,0,-74.073,-71.454,0,0,1,4,5,mungjungh,179,73,0,0,0,0,0,0,0,0,0,-0.084,-37.567,0.054,-16.743,-21.4,-47.178,-9.562,-66.944,17.141,-45.854,13.041,-64.838,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
42,2,0,0,2,0,0,0,0,255,255,255,13,1395.593,_Chun,6,117,-3.198,-0.276,4,-500,0,0,0,1,4,5,mungjungh,179,73,0,0,0,0,0,0,0,0,0,-0.105,-37.573,-0.388,-16.788,-21.636,-46.432,-9.564,-66.896,15.621,-45.267,13.885,-63.973,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
43,2,0,0,0,1,0,0,0,255,255,255,14,1422.262,_Chun,0,140,-1.402,-0.542,0,-82.039,-62.86,0,0,0,5,0,Pugeuk,190,74,0,0,0,0,0,0,0,0,0,0.197,-37.544,-0.191,-16.944,-23.573,-46.489,-8.583,-66.058,17.187,-44.76,14.073,-63.768,35.701,-81.801,0,-100.6,-35.701,-81.801,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
44,2,0,0,1,1,0,0,0,255,255,255,15,1438.657,_Chun,0,136,1.882,-0.698,4,-67.008,-70.759,0,0,1,5,0,Pugeuk,190,74,0,0,0,0,0,0,0,0,0,0.048,-37.587,0.253,-16.947,-21.695,-47.66,-8.586,-66.091,15.486,-46.35,11.762,-64.961,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
45,2,0,0,2,1,0,0,0,255,255,255,16,1455.772,_Chun,10,121,1.332,-2.529,2,0,400,0.242,-20.917,1,5,0,Pugeuk,190,74,1456.715,103,188,36,138,65,-25.107,16.358,1,0.322,-36.69,0.129,-17.056,-21.951,-46.912,-8.585,-66.014,18.729,-45.403,14.499,-63.722,35.7,-81.8,0,-100.6,-35.7,-81.8,1456.742,0.226,-20.135,1459.77,3,ke ro,-8.903,-55.769,0,2,1,0,-0.081,-0.265,0
46,2,0,0,0,2,0,0,0,255,255,255,17,1485.017,_Chun,13,111,1.877,-0.958,1,354.986,352.115,0.551,-17.575,0,0,2,甲斐野柊太,190,72,0,0,0,0,0,0,0,0,0,-0.289,-37.717,0.252,-16.849,-20.283,-45.989,-10.175,-65.636,15.81,-46.554,12.737,-64.964,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
47,2,0,1,0,2,0,0,0,255,255,255,18,1506.084,_Chun,0,131,-1.436,0.632,2,-63.043,-71.185,0,0,1,0,2,甲斐野柊太,190,72,1507.224,94,155,92,141,107,37.682,20.543,0.866,-0.062,-36.853,-0.151,-16.936,-22.559,-47.845,-9.365,-65.511,16.445,-50.209,12.708,-64.302,35.7,-81.8,0,-100.6,-35.7,-81.8,1516.888,-31.586,-120.521,1516.888,-1,AI,-31.618,-120.532,1,0,1,0,0.139,-0.166,0
48,2,0,0,0,2,0,1,0,255,11,255,19,1556.501,_Chun,0,132,-1.361,-0.158,0,-54.192,-111.688,0,0,0,1,4,CAT tourniquet,179.5,71,0,0,0,0,0,0,0,0,0,-0.297,-37.532,-0.065,-16.714,-21.171,-48.559,-4.371,-61.002,19.759,-41.113,15.85,-63.409,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
49,2,0,0,1,2,0,1,0,255,11,255,20,1573.752,_Chun,6,115,-1.286,-0.46,0,-500,0,0,0,0,1,4,CAT tourniquet,179.5,71,0,0,0,0,0,0,0,0,0,0.054,-37.498,-0.003,-16.708,-21.62,-47.901,-2.168,-61.011,18.542,-43.294,16.311,-62.453,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
50,2,0,0,2,2,0,1,0,255,11,255,21,1591.382,_Chun,0,139,3.895,1.009,1,-22.345,-75.692,0,0,0,1,4,CAT tourniquet,179.5,71,0,0,0,0,0,0,0,0,0,0.073,-37.624,0.536,-16.976,-20.219,-47.318,-2.933,-63.53,19.264,-40.311,16.096,-62.607,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
51,2,0,1,2,2,0,0,1,255,255,11,22,1656.739,_Chun,6,115,0.799,-0.179,0,-500,0,0,0,0,1,4,CAT tourniquet,179.5,71,0,0,0,0,0,0,0,0,0,-0.051,-37.686,-0.003,-16.856,-21.636,-49.955,-8.693,-63.604,19.035,-40.582,15.273,-62.46,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
52,3,1,0,0,0,0,0,0,255,255,255,28,1702.235,Pugeuk,10,105,-1,0.077,0,0,400,0,0,0,4,1,Pring__,180.1,70,0,0,0,0,0,0,0,0,0,0.298,-34.634,-0.055,-17.135,-18.929,-40.112,-10.428,-59.076,21.254,-47.103,16.404,-62.299,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
53,3,1,0,1,0,0,0,0,255,255,255,29,1717.457,Pugeuk,3,117,-2.065,-0.461,4,-411.655,0,-1.062,-17.332,1,4,1,Pring__,180.1,70,0,0,0,0,0,0,0,0,0,0.028,-38.038,-0.262,-17.242,-16.954,-43.088,-11.919,-64.604,20.68,-47.147,16.4,-62.293,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
54,3,1,0,2,0,0,0,0,255,255,255,30,1732.265,Pugeuk,14,110,2.448,-0.762,4,388.926,314.224,1.071,-17.784,1,4,1,Pring__,180.1,70,0,0,0,0,0,0,0,0,0,-0.056,-37.997,0.615,-17.385,-18.819,-41.582,-12.606,-64.022,20.802,-47.667,16.384,-62.311,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
55,3,1,0,0,1,0,0,0,255,255,255,31,1758.505,Pugeuk,0,132,-1.285,-0.614,2,-114.665,-200,0,0,1,5,0,_Chun,190,70,1759.424,54,53,2,18,51,-70.876,62.025,-0.06,-0.362,-37.045,-0.049,-17.379,-16.933,-43.846,-12.165,-64.586,20.793,-47.665,16.359,-62.502,35.7,-81.8,0,-100.6,-35.7,-81.8,1759.485,-0.702,-20.561,0,0,,0,0,0,3,1,0,0.112,-0.068,0
56,3,1,0,1,1,0,0,0,255,255,255,32,1778.966,Pugeuk,13,119,-1.96,-1.398,1,-233.402,400,-0.524,-18.068,0,5,0,_Chun,190,91,0,0,0,0,0,0,0,0,0,-0.297,-37.893,-0.204,-17.849,-17.845,-43.311,-12.637,-64.718,22.154,-47.613,16.258,-61.882,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
57,3,1,1,1,1,0,0,0,255,255,255,33,1794.013,Pugeuk,10,118,1.516,-0.514,2,-58.169,400,0,0,1,5,0,_Chun,190,91,1794.943,106,136,11,131,92,-9.606,-43.304,0.916,0.099,-36.993,-0.034,-17.272,-17.829,-43.31,-12.414,-64.349,22.129,-47.635,15.795,-61.983,35.7,-81.8,0,-100.6,-35.7,-81.8,1803.763,66.854,-89.501,1803.645,-1,AI,66.88,-89.537,1,0,1,0,0.117,-0.113,0
58,3,1,0,0,1,0,1,0,255,255,255,34,1830.844,Pugeuk,10,120,-0.214,-2.333,2,0,400,0,0,1,0,3,ke ro,160,70,1831.957,106,151,12,133,79,41.099,51.549,0.967,-0.261,-37.24,-0.02,-17.316,-16.962,-42.219,-7.722,-62.862,20.739,-46.47,14.63,-63.38,35.7,-81.8,0,-100.6,-35.7,-81.8,1836.395,-52.581,-53.247,0,0,,0,0,0,3,1,0,-0.057,-0.167,0
59,3,1,0,1,1,0,1,0,255,255,255,35,1851.681,Pugeuk,0,127,1.648,0.803,2,25.384,-156.135,0,0,1,0,3,ke ro,160,70,1852.63,59,53,0,20,48,114.558,-8.514,-0.336,0.094,-37.142,-0.05,-17.288,-17.974,-42.911,-6.303,-62.826,20.566,-49.424,15.022,-62.972,35.7,-81.8,0,-100.6,-35.7,-81.8,1857.492,-2.553,-2.958,0,0,,0,0,0,3,1,0,-0.012,-0.079,0
60,3,1,0,2,1,0,1,0,255,255,255,36,1881.15,Pugeuk,3,103,-0.317,-0.913,0,-424.827,210.138,0,0,1,0,3,ke ro,160,70,0,0,0,0,0,0,0,0,0,0.019,-37.953,-0.308,-17.823,-17.465,-42.225,-11.058,-63.885,20.949,-46.049,14.684,-61.303,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
61,3,1,0,0,2,0,0,1,255,255,255,37,1908.556,Pugeuk,0,130,-1.74,-0.425,1,-135.184,-200,0,0,0,1,5,소솨소솨,170.3,70,0,0,0,0,0,0,0,0,0,-0.154,-37.717,-0.088,-17.223,-17.237,-42.509,-11.851,-64.678,20.395,-45.818,15.21,-62.085,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
62,3,1,1,0,2,0,0,1,255,255,255,38,1922.799,Pugeuk,0,0,0,0,0,0,0,0,0,1,1,5,소솨소솨,170.3,70,1923.716,126,207,0,139,80,-76.676,-57.57,-0.081,-0.092,-37.026,-0.058,-17.284,-17.228,-42.629,-11.607,-64.633,20.449,-45.854,15.203,-62.084,35.7,-81.8,0,-100.6,-35.7,-81.8,1924.075,0.542,-20.545,1926.013,1,encounter v,0.385,-21.834,0,2,1,0,-0.15,-0.281,0
63,3,1,1,1,2,0,0,1,255,255,255,39,1939.158,Pugeuk,0,133,2.056,1.527,2,171.474,-200,0,0,1,1,5,소솨소솨,170.3,70,1940.028,89,92,17,100,62,101.281,21.747,-0.23,-0.071,-37.008,-0.093,-17.385,-17.192,-42.688,-11.88,-64.731,21.152,-46.404,14.702,-63.482,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,1945.214,1,encounter v,5.348,-7.813,0,1,1,0,-0.027,-0.185,0
64,3,0,0,0,0,0,0,0,255,255,255,23,1978.637,_Chun,6,118,-0.964,-0.365,2,-499.899,10.07,0,0,1,2,1,encounter v,190,69,1979.759,80,165,4,99,77,33.288,2.363,0.12,0.381,-36.683,-0.282,-16.913,-21.099,-47.462,-8.576,-65.87,17.826,-41.851,13.269,-64.954,35.7,-81.8,0,-100.6,-35.7,-81.8,1984.457,0.609,-79.901,1984.555,5,소솨소솨,0.561,-77.792,0,1,1,0,0.089,-0.165,0
