id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
65,4,1,5,1,2,2,1,0,0,0,255,255,255,37,1965.496,"Sabo_10",L,10,81,109,0.256,-1.481,-0.376,1.969,0.12,1.156,-36.768,2,0,0,400,-46.17,0,0,1,5,0,R,"하루（Haru）",190,80,0.549,2,38,1966.642,144,170,151,84,57,145,69,-12.485,4.657,0.99,-0.072,-0.034,0,0.419,-0.067,-37.157,120,"Multeinn",-0.02,-16.965,0,"Ayu_Yua",-22.802,-48.446,83,"눈꽃",-14.704,-63.582,0,"Penguin_iDOL",23.141,-50.417,0,"muyang_",14.482,-63.706,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,1965.67,-0.159,-23.591,1966.737,0,"Sabo_10",-1.114,-36.35,0,32,0,0,0,0,33,2
66,4,1,5,1,0,0,2,0,0,0,255,255,255,38,1992.884,"Sabo_10",L,10,82,110,-1.107,-2.188,-0.471,1.904,-0.407,1.038,-36.665,4,0,-32.789,400,-35.851,-0.194,-19.521,1,0,5,R,"coder_",163.8,85,0.296,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.246,-37.923,0,"Multeinn",-0.019,-16.998,0,"Ayu_Yua",-22.268,-48.085,0,"눈꽃",-15.144,-63.943,0,"Penguin_iDOL",22.362,-49.969,0,"muyang_",6.327,-57.537,0,"AI",40.9,-90.65,0,"AI",0,-109.85,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
67,4,1,5,1,0,1,2,0,0,0,255,255,255,39,2008.029,"Sabo_10",L,27,82,134,2.519,0.386,-0.553,2.083,-0.071,1.154,-36.846,2,0,-49.473,-133.567,-21.641,0,0,1,0,5,R,"coder_",163.8,85,0.296,3,38,2009.063,198,91,135,59,30,145,89,4.121,25.225,-0.27,-0.118,-0.08,0,0.198,-0.118,-37.346,0,"Multeinn",0.01,-16.994,0,"Ayu_Yua",-22.289,-48.119,85,"눈꽃",-13.134,-59.238,92,"Penguin_iDOL",22.093,-50.027,0,"muyang_",11.08,-60.352,0,"AI",40.9,-90.65,0,"AI",0,-109.85,0,"AI",-40.8,-90.55,0,2008.923,-10.519,-39.155,2010.51,3,"눈꽃",-19.62,-55.947,0,0,0,0,0,0,17,2
68,4,0,5,1,0,0,0,0,0,0,255,255,255,27,2064.818,"_Chun",L,6,80,120,7.847,2.564,0.324,1.636,1.508,1.609,-36.583,2,0,-456.763,0,-22.453,0,0,1,0,2,R,"Ayu_Yua",190,88.709,0.483,3,38,2065.982,109,28,73,36,19,135,94,-53.598,49.369,-0.33,0.018,-0.011,0,0.195,0.289,-37.034,0,"HANA_ARASHI",-0.07,-17.034,0,"아침땅_",-21.415,-46.694,0,"sano jpn",-14.615,-63.297,0,"하루（Haru）",20.7,-48.119,0,"coder_",11.465,-66.005,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,2064.923,-0.651,-19.941,0,0,"",0,0,0,0,0,0,0,0,16,3
69,4,0,5,1,0,1,0,0,0,0,255,255,255,28,2082.636,"_Chun",L,30,61,118,1.425,1.347,0.027,1.912,0.36,2.336,-36.936,4,0,144.789,-109.414,-1.446,0,0,1,0,2,R,"Ayu_Yua",190,88.709,0.483,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019,-37.645,0,"HANA_ARASHI",-0.12,-17.111,0,"아침땅_",-21.38,-46.651,0,"sano jpn",-14.069,-64.157,0,"하루（Haru）",20.841,-44.714,0,"coder_",11.46,-65.515,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
70,4,0,5,1,0,2,0,0,0,0,255,255,255,29,2098.104,"_Chun",L,10,69,113,0.183,-0.909,-0.041,1.612,-0.193,1.53,-36.468,2,0,138.734,400,-6.463,0,0,1,0,2,R,"Ayu_Yua",190,88.709,0.483,3,38,2099.27,154,89,71,80,36,141,129,7.3,22.494,0.31,0.06,-0.013,0,0.214,0.308,-37.125,0,"HANA_ARASHI",-0.014,-17.21,0,"아침땅_",-21.321,-46.639,0,"sano jpn",-13.801,-64.157,86,"하루（Haru）",17.74,-46.688,0,"coder_",11.492,-65.481,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,2099.87,3,"sano jpn",-19.757,-61.006,0,0,0,0,0,0,20,1
71,4,0,5,1,0,0,1,0,0,0,255,255,255,30,2118.564,"_Chun",L,6,79,118,1.452,-0.274,0.308,1.584,1.43,1.44,-36.563,2,0,-458.655,0,-29.687,0,0,1,1,1,R,"Multeinn",190,89.819,0.501,3,38,2119.561,255,150,152,141,79,145,84,10.48,19.106,-0.81,-0.125,-0.154,0,0.418,0.426,-37.026,0,"HANA_ARASHI",-0.087,-17.06,0,"아침땅_",-21.059,-46.981,0,"sano jpn",-14.18,-63.519,79,"하루（Haru）",18.552,-47.694,0,"coder_",11.197,-65.47,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,2120.963,3,"sano jpn",-13.035,-59.487,0,0,0,0,0,0,20,1
72,4,0,5,1,0,0,2,0,0,0,255,255,255,31,2141.809,"_Chun",L,14,81,119,1.339,-1.068,0.258,1.584,1.201,1.418,-36.541,4,0,-375.258,330.427,-35.226,0.038,-17.079,0,2,0,R,"muyang_",172.6,80,0.448,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489,-37.779,0,"HANA_ARASHI",0.058,-17.381,0,"아침땅_",-21.176,-46.632,0,"sano jpn",-14.285,-63.096,0,"하루（Haru）",15.476,-48.102,0,"coder_",11.483,-65.614,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
73,4,0,5,1,1,0,2,0,0,0,255,255,255,32,2163.305,"_Chun",L,29,77,129,1.316,0.299,0.058,1.647,0.269,1.642,-36.55,0,0,203.514,-124.534,-22.62,0.782,-8.958,0,2,0,R,"muyang_",172.6,80,0.448,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,-37.915,0,"HANA_ARASHI",0.288,-17.077,0,"아침땅_",-21.174,-46.63,0,"sano jpn",-14.302,-63.845,0,"하루（Haru）",18.811,-47.2,0,"coder_",10.383,-65.808,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
74,4,0,5,1,1,1,2,0,0,0,255,255,255,33,2177.123,"_Chun",L,14,72,112,-3.058,-1.902,-0.14,1.463,-0.653,0.988,-36.538,4,0,-375.527,330.121,0,-0.684,-18.601,1,2,0,R,"muyang_",172.6,80,0.448,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,-38.009,0,"HANA_ARASHI",-0.277,-17.398,0,"아침땅_",-20.933,-46.717,0,"sano jpn",-14.361,-63.865,0,"하루（Haru）",19.101,-46.771,0,"coder_",10.509,-65.791,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
