id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
51,7,1,2,8,0,2,0,0,1,0,255,4,255,69,4602.296,Pring__,R,0,129,0.708,-0.795,2,217.027,-90.638,0,0,1,1,2,R,Roslynn,190,107,0.719,61,4603.297,241,149,10,148,86,91.992,87.243,-0.54,-0.131,-0.31,0.349,-0.496,-36.989,0.142,-17.356,-19.865,-45.994,-12.773,-65.046,21.699,-48.599,10.473,-61.001,47.152,-89.314,1.606,-108.09,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
52,7,1,2,8,0,2,0,0,1,0,255,4,255,70,4624.028,Pring__,R,14,100,-0.82,-0.462,2,319.939,355.167,0,0,1,1,2,R,Roslynn,190,107,0.719,89,4625.237,192,138,49,148,94,8.957,17.71,-0.3,-0.045,-0.066,0.245,-0.206,-37.139,-0.114,-17.299,-19.935,-45.172,-13.118,-64.746,22.834,-49.433,11.374,-60.841,46.763,-87.895,1.212,-108.806,-35.7,-81.8,4626.891,-12.752,-57.552,4627.302,3,Oort__Cloud,-12.934,-58.057,0,0,0,0,0,0,0,2
53,7,1,2,8,0,0,1,0,1,0,255,4,255,71,4654.816,Pring__,R,14,95,-1.406,-0.895,0,318.731,337.338,0.04,-17.34,0,2,6,R,Eaglebuter,169.5,95,0.5,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.194,-37.646,-0.151,-16.923,-20.23,-44.943,-12.81,-65.148,21.506,-47.431,4.769,-61.674,48.664,-88.72,-0.922,-111.844,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
54,7,1,2,8,0,1,1,0,1,0,255,4,255,72,4672.913,Pring__,R,0,126,1.02,0.433,2,192.436,-109.206,0,0,1,2,6,R,Eaglebuter,169.5,95,0.5,89,4673.907,105,24,0,51,51,-58.518,20.142,-0.55,-0.073,-0.023,0.137,-0.538,-36.965,0.011,-17.304,-20.283,-44.959,-13.003,-65.144,21.351,-48.124,5.314,-61.096,48.438,-88.612,-0.971,-111.557,-35.7,-81.8,4673.813,0.032,-19.374,4676.213,0,Pring__,-5.019,-32.227,0,0,0,0,0,0,0,2
55,7,1,2,8,0,0,2,0,0,1,255,255,4,73,4708.124,Pring__,R,14,96,0.779,-0.306,0,234.197,400,0,0,0,3,8,R,Saƅer,190,95.294,0.498,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.195,-37.996,0.162,-17.396,-20.091,-45.284,-13.278,-64.842,20.011,-40.626,12.573,-63.703,47.428,-87.987,-0.798,-106.941,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
56,7,1,2,8,0,1,2,0,0,1,255,255,4,74,4728.267,Pring__,R,13,105,-2.636,-0.863,2,-335.355,355.769,0,0,1,3,8,R,Saƅer,190,95.294,0.498,89,4729.319,187,156,57,148,92,-72.611,66.481,-0.5,0.031,-0.177,0,-0.314,-36.877,-0.356,-17.149,-21.784,-45.042,-13.376,-64.86,20.792,-44.83,12.561,-63.694,46.096,-86.984,-0.466,-106.97,-35.7,-81.8,4729.346,-0.929,-20.221,0,0,,0,0,0,0,0,0,0,0,0,3
57,7,1,2,8,0,2,2,0,0,1,255,255,4,75,4750.219,Pring__,R,0,138,-2.621,0.409,4,235.002,-187.906,0,0,1,3,8,R,Saƅer,190,95.294,0.498,45,0,0,0,0,0,0,0,0,0,0,0,0,-0.396,-37.619,-0.101,-17.079,-20.18,-42.327,-12.859,-64.56,19.972,-40.381,11.982,-64.655,46.381,-86.282,0.294,-104.182,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
58,7,0,2,8,0,0,0,0,0,0,255,255,255,83,4796.107,NABIMan,R,0,139,-0.981,-1.437,2,100.502,-115.183,0,0,1,2,1,L,Pring__,180.4,90.045,0.475,85,4796.828,118,127,36,136,84,-20.687,11.277,-0.23,0.004,-0.068,0.284,-0.591,-36.62,0.053,-17.242,-24.123,-51.657,-11.966,-64.558,20.915,-47.57,14.787,-64.372,37.098,-86.241,0,-100.6,-38.723,-86.63,4796.813,-0.366,-21.016,4799.224,3,encounter v,-4.845,-62.752,0,0,0,0,0,0,0,2
59,7,0,2,8,0,0,1,0,0,0,255,255,255,84,4818.226,NABIMan,R,3,109,0.934,0.794,0,-396.049,0,0,0,0,3,2,R,인생최패망자,190,90,0.45,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.271,-37.855,0.116,-17.29,-23.095,-52.225,-12.529,-62.998,19.684,-46.633,13.622,-64.494,38.391,-87.547,0,-100.6,-37.272,-84.3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
60,7,0,2,8,0,1,1,0,0,0,255,255,255,85,4828.806,NABIMan,R,13,107,-2.889,-0.531,4,-348.533,348.738,0,0,1,3,2,R,인생최패망자,190,90,0.45,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.184,-37.872,-0.061,-17.36,-22.652,-52.986,-12.462,-62.895,19.7,-46.617,13.61,-64.454,38.363,-87.518,0,-100.6,-37.409,-84.648,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
61,7,0,2,8,0,2,1,0,0,0,255,255,255,86,4839.975,NABIMan,R,0,123,0.934,0.238,2,118.795,-55.122,0,0,1,3,2,R,인생최패망자,190,90,0.45,89,4841.039,158,134,34,143,114,37.409,-43.16,0.84,-0.034,-0.08,0.312,-0.442,-36.73,0.054,-17.291,-23.325,-52.692,-12.441,-62.876,20.018,-47.462,13.74,-64.208,38.371,-87.557,0,-100.6,-37.263,-84.541,4845.946,61.109,-96.812,4847.18,6,Eaglebuter,58.938,-95.471,1,0,0,0,0,0,0,2
62,7,0,2,8,0,0,1,0,1,0,255,11,255,87,4876.03,NABIMan,R,13,103,-2.3,-0.516,4,-366.504,311.121,0,0,1,4,6,L,schmoneymikey,190,100,0.6,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.524,-37.779,0.125,-17.293,-22.315,-51.158,-4.809,-61.83,20.419,-46.97,14.601,-63.913,37.693,-88.78,0,-100.6,-37.538,-84.014,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
63,7,0,2,8,0,1,1,0,1,0,255,11,255,88,4888.052,NABIMan,R,5,117,-1.992,-0.829,4,-144.724,0,0,0,1,4,6,L,schmoneymikey,190,100,0.6,89,0,0,0,0,0,0,0,0,0,0,0,0,0.026,-37.622,0.071,-17.279,-23.456,-52.797,-8.232,-63.477,20.126,-44.962,14.593,-63.888,42.965,-88.361,0,-100.6,-37.159,-83.809,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
64,7,0,2,8,0,2,1,0,1,0,255,11,255,89,4900.183,NABIMan,R,0,133,0.412,-1.161,4,95.117,-66.932,0,0,1,4,6,L,schmoneymikey,190,100,0.6,89,0,0,0,0,0,0,0,0,0,0,0,0,0.026,-37.456,0.109,-17.275,-23.433,-53.023,-6.556,-65.459,19.177,-45.414,14.097,-63.865,42.966,-88.406,0,-100.6,-37.158,-83.724,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
65,7,0,2,8,0,0,2,0,1,0,255,11,255,90,4921.802,NABIMan,R,0,132,1.994,0.102,1,117.038,-58.695,0,0,0,5,0,R,소솨소솨,190,89.643,0.4,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.115,-37.905,0.195,-17.237,-23.522,-51.853,-11.732,-63.965,20.527,-44.253,13.72,-63.744,42.979,-88.276,0,-100.6,-37.72,-84.401,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
66,7,0,2,8,1,0,2,0,1,0,255,11,255,91,4932.868,NABIMan,R,0,138,0.446,-0.497,0,93.175,-138.345,0,0,0,5,0,R,소솨소솨,190,89.643,0.4,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.326,-37.61,0.127,-17.337,-16.042,-53.574,-4.699,-64.535,19.215,-40.253,12.198,-63.806,43.3,-88.558,0,-100.6,-43.051,-75.545,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
67,7,0,2,8,1,1,2,0,0,1,255,255,11,92,4950.285,NABIMan,R,3,107,0.995,0.796,2,-386.846,0,0,0,1,5,0,R,소솨소솨,190,89.643,0.4,89,4951.205,196,161,46,149,93,39.556,20.285,-0.45,-0.082,-0.179,0.467,-0.226,-36.739,0.031,-17.295,-16.54,-52.809,-9.418,-65.857,19.482,-42.733,13.671,-64.106,42.994,-88.797,0,-100.6,-43.448,-75.411,4956.213,-17.195,-91.004,4962.724,5,ke ro,-0.826,-61.041,1,0,0,0,0,0,0,0
68,7,0,2,8,0,0,2,1,0,0,9,255,255,93,4986.147,NABIMan,R,3,108,-1.235,-0.891,0,-416.796,195.936,0,0,0,6,3,R,Oort__Cloud,160,90,0.3,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.277,-37.789,0.102,-17.244,-18.716,-48.08,-12.584,-63.122,21.349,-48.145,11.49,-64.453,32.585,-78.912,0,-100.6,-37.199,-81.007,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
69,7,0,2,8,0,1,2,1,0,0,9,255,255,94,4997.876,NABIMan,R,5,121,-0.257,1.202,2,-58.64,0,0,0,1,6,3,R,Oort__Cloud,160,90,0.3,89,4999.016,79,62,15,105,61,36.158,43.77,-0.45,-0.125,-0.125,0.367,-0.4,-36.632,0.07,-17.261,-19.509,-42.872,-12.573,-63.049,20.544,-47.984,11.589,-64.79,38.04,-86.805,0,-100.6,-36.98,-81.055,5002.446,-29.156,-48.909,5005.224,8,Saƅer,-39.72,-60.885,0,0,0,0,0,0,0,2
70,7,0,2,8,0,2,2,1,0,0,9,255,255,95,5022.016,NABIMan,R,0,140,0.163,-1.469,2,88.514,-130.564,0,0,0,6,3,R,Oort__Cloud,160,90,0.3,89,5023.112,106,88,9,131,73,-20.479,19.829,-0.04,-0.167,-0.113,0.239,-0.425,-36.622,0.073,-17.261,-19.166,-45.743,-14.418,-63.054,20.484,-47.401,14.037,-63.4,36.551,-88.54,0,-100.6,-36.363,-78.251,5023.024,-0.251,-20.411,5025.68,2,Roslynn,-10.521,-47.455,0,32,0,0,0,0,0,2
