id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
105,4,1,8,7,1,1,1,0,0,0,255,255,255,53,3768.823,Oort__Cloud,5,117,-0.977,0.347,2,-101.559,0,0,0,0,3,1,Kr_Luna,190,66,3769.669,121,138,42,164,130,26.426,31.965,0.522,0.028,-0.07,-0.272,-36.68,-0.181,-17.323,-21.162,-46.76,-16.544,-59.583,21.848,-47.17,15.51,-61.703,40.241,-91.481,1.159,-101.868,-45.269,-84.992,3774.403,-63.181,-116.146,0,0,,0,0,0,0,4
106,4,1,9,7,0,0,1,0,0,0,255,255,255,54,3814.174,Oort__Cloud,0,140,-1.153,-1.459,2,131.548,-166.852,0,0,1,4,4,-라후이-,180,66,3814.938,118,152,43,165,129,4.512,27.008,0.448,0.016,-0.132,-0.466,-36.922,0.008,-17.365,-20.602,-46.301,-16.187,-59.98,20.982,-49.423,11.689,-61.928,40.431,-87.092,0.997,-109.067,-46.596,-87.53,3816.035,-19.251,-52.594,3825.268,8,ʚmingɞ,-32.285,-88.611,1,0,2
107,4,1,9,7,0,0,1,0,1,0,255,4,255,55,3865.683,Oort__Cloud,0,134,2.227,0.051,1,73.263,-51.353,0,0,0,5,3,IllilliIIIIllil,174.5,66,0,0,0,0,0,0,0,0,0,0,0,-0.359,-37.162,0.277,-17.534,-21.869,-47.873,-1.286,-58.973,19.761,-43.158,17.105,-58.325,34.083,-79.214,2.073,-104.036,-39.441,-82.699,0,0,0,0,0,,0,0,0,0,0
108,4,1,9,7,1,0,1,0,0,1,255,255,4,56,3902.921,Oort__Cloud,3,109,2.493,0.287,1,-370.203,0,0,0,0,5,3,IllilliIIIIllil,174.5,66,0,0,0,0,0,0,0,0,0,0,0,0.046,-37.427,0.07,-17.306,-21.608,-48.137,-15.94,-59.296,19.728,-42.532,15.623,-60.566,37.137,-75.713,1.327,-103.518,-43.985,-84.542,0,0,0,0,0,,0,0,0,0,0
109,4,1,9,7,2,0,1,0,0,1,255,255,4,57,3920.355,Oort__Cloud,0,131,-0.809,0.758,2,55.026,-112.221,0,0,1,5,3,IllilliIIIIllil,174.5,66,3921.36,120,198,68,173,130,40.103,27.769,0.507,-0.06,-0.035,-0.305,-36.912,-0.073,-17.377,-21.728,-47.894,-15.845,-60.543,20.543,-43.338,15.509,-60.177,36.955,-79.962,1.218,-104.342,-43.439,-85.043,3927.672,-66.468,-115.956,0,0,,0,0,0,0,4
110,4,1,11,7,0,0,1,0,0,0,255,255,255,58,3968.938,Oort__Cloud,3,112,0.878,0.286,0,-419.2,0,0,0,0,6,2,장덕춘_,175.4,66,0,0,0,0,0,0,0,0,0,0,0,-0.161,-37.325,0.077,-17.275,-21.799,-48.223,-16.623,-62.704,20.944,-47.519,12.574,-61.567,35.443,-82.708,0.304,-103.048,-44.66,-84.835,0,0,0,0,0,,0,0,0,0,0
111,4,1,11,7,0,1,1,0,0,0,255,255,255,59,3987.529,Oort__Cloud,4,122,0.165,0.797,0,-151.934,107.203,0,0,1,6,2,장덕춘_,175.4,66,0,0,0,0,0,0,0,0,0,0,0,-0.523,-37.125,0.105,-17.279,-21.594,-49.106,-17.196,-61.634,21.424,-49.005,11.79,-61.858,35.097,-82.642,0.814,-103.023,-46.714,-86.867,0,0,0,0,0,,0,0,0,0,0
112,4,1,11,7,0,2,1,0,0,0,255,255,255,60,4005.776,Oort__Cloud,0,140,-0.156,1.114,1,67.881,-172.607,0,0,0,6,2,장덕춘_,175.4,66,0,0,0,0,0,0,0,0,0,0,0,0.055,-37.729,0.065,-17.309,-21.919,-48.477,-17.495,-61.324,20.976,-48.876,11.777,-61.495,37.35,-85.343,0.814,-103.043,-46.847,-86.355,0,0,0,0,0,,0,0,0,0,0
113,4,1,11,7,1,2,1,0,0,0,255,255,255,61,4024.522,Oort__Cloud,1,111,-0.366,-0.852,2,0,0,0,0,1,6,2,장덕춘_,175.4,66,4025.494,91,135,255,157,126,26.083,37.956,0.768,-0.073,-0.199,-0.32,-36.815,-0.007,-17.404,-21.445,-47.57,-17.489,-61.325,21.598,-49.756,11.431,-62.56,37.346,-85.337,0.957,-103.021,-46.867,-86.366,4030.393,-54.047,-118.289,0,0,,0,0,0,0,4
114,4,1,12,7,0,0,1,0,0,0,255,255,255,62,4068.911,Oort__Cloud,3,111,0.427,-0.047,2,-402.082,0,0,0,1,7,5,TaeGeuk_,177.3,66,4069.747,100,130,5,148,64,-3.729,30.162,-1,-0.048,-0.002,-0.282,-37.047,0.044,-17.591,-21.816,-47.703,-16.64,-60.692,21.334,-50.404,11.925,-62.291,34.769,-85.453,0.924,-98.601,-44.695,-84.233,4070.166,-3.872,-26.018,4072.433,2,소솨소솨,-15.801,-47.281,0,0,2
